Gender,Champion,Runner-up Nationality,Champion Nationality,Runner-up,Score,Year
Men's,R. Savitt,AUS,USA,K.B. McGregor,"6-4, 6-4, 6-4",1951
Men's,R. Falkenburg,AUS,USA,J.E. Bromwich,"7-5, 0-6, 6-2, 3-6, 7-5",1948
Men's,S.B.B. Wood,USA,USA,F.X. Shields,walk over,1931
Men's,R.P.S. Krajicek,USA,NED,M.O. Washington,"6-3, 6-4, 6-3",1996
Men's,G.S. Ivanisevic,AUS,CRO,P.M. Rafter,"6-3, 3-6, 6-3, 2-6, 9-7",2001
Men's,B.F. Becker,USA,GER,K.M. Curren,"6-3, 6-7 (4-7), 7-6 (7-3), 6-4",1985
Women's,B.M. Court,USA,AUS,L.W. King,"14-12, 11-9,",1970
Women's,M. Smith,USA,AUS,B.J. Moffitt,"6-3, 6-4,",1963
Women's,M. Smith,BRA,AUS,M.E.A. Bueno,"6-4, 7-5,",1965
Women's,E.F. Goolagong,AUS,AUS,B.M. Court,"6-4, 6-1,",1971
Women's,R.A. Cawley,USA,AUS,J.M. Lloyd,"6-1, 7-6 (7-4)",1980
Women's,M.E.A. Bueno,RSA,BRA,S. Reynolds,"8-6, 6-0",1960
Women's,M.E.A. Bueno,AUS,BRA,M. Smith,"6-4, 7-9, 6-3,",1964
Women's,M.E.A. Bueno,USA,BRA,D.R. Hard,"6-4, 6-3,",1959
Women's,J. Novotna,FRA,CZE,N. Tauziat,"6-4, 7-6 (7-2)",1998
Women's,P. Kvitová,CND,CZE,E. Bouchard,"6-3, 6-0",2014
Women's,P.Kvitova,RUS,CZE,M. Sharapova,"6-3, 6-4",2011
Women's,I.C. Martinez,USA,ESP,M. Navratilova,"6-4, 3-6, 6-3,",1994
Women's,S.R.F. Lenglen,GBR,FRA,J.C. Fry,"6-2, 6-0",1925
Women's,S.R.F. Lenglen,GBR,FRA,K. McKane,"6-2, 6-2",1923
Women's,S.R.F. Lenglen,GBR,FRA,R.L. Chambers,"10-8, 4-6, 9-7",1919
Women's,S.R.F. Lenglen,GBR,FRA,R.L. Chambers,"6-3, 6-0",1920
Women's,S.R.F. Lenglen,USA,FRA,E.M. Ryan,"6-2, 6-0",1921
Women's,S.R.F. Lenglen,USA,FRA,F.I. Mallory,"6-2, 6-0",1922
Women's,A. Mauresmo,BEL,FRA,P-Y Hardenne,"2-6, 6-3, 6-4",2006
Women's,M. Bartoli,GER,FRA,S. Lisicki,"6-2,1-6,6-4",2013
Women's,L.A. Godfree,ESP,GBR,E.M. de Alvarez,"6-2, 4-6, 6-3",1926
Women's,A. Sterry,GBR,GBR,A.M. Morton,"6-4, 6-4",1908
Women's,A. Sterry,GBR,GBR,G.W. Hillyard,"6-2, 6-2",1901
Women's,B. Bingley,GBR,GBR,M.E.E Watson,"6-3, 6-3",1886
Women's,C. Dod,GBR,GBR,B. Bingley,"6-2, 6-0",1887
Women's,C. Dod,GBR,GBR,G.W. Hillyard,"6-1, 6-1",1892
Women's,C. Dod,GBR,GBR,G.W. Hillyard,"6-2, 6-1",1891
Women's,C. Dod,GBR,GBR,G.W. Hillyard,"6-3, 6-3",1888
Women's,C. Dod,GBR,GBR,G.W. Hillyard,"6-8, 6-1, 6-4",1893
Women's,C.R. Cooper,GBR,GBR,H. Jackson,"7-5, 8-6",1895
Women's,C.R. Cooper,GBR,GBR,M.L.Martin,"6-4, 6-4",1898
Women's,C.R. Cooper,GBR,GBR,W.H. Pickering,"6-2, 6-3",1896
Women's,D.K. Douglass,GBR,GBR,A. Sterry,"6-0, 6-3",1904
Women's,D.K. Douglass,GBR,GBR,E.W. Thomson,"4-6, 6-4, 6-2",1903
Women's,D.T.R. Larcombe,GBR,GBR,A. Sterry,"6-3, 6-1",1912
Women's,G.W. Hillyard,GBR,GBR,C.R. Cooper,"4-6, 6-4, 6-4",1900
Women's,G.W. Hillyard,GBR,GBR,C.R. Cooper,"5-7, 7-5, 6-2",1897
Women's,G.W. Hillyard,GBR,GBR,C.R. Cooper,"6-2, 6-3",1899
Women's,G.W. Hillyard,GBR,GBR,E.L. Austin,"6-1, 6-1",1894
Women's,G.W. Hillyard,GBR,GBR,H.G.B. Rice,"4-6, 8-6, 6-4",1889
Women's,H.G.B. Rice,GBR,GBR,M. Jacks,"6-4, 6-1",1890
Women's,M.E. Robb,GBR,GBR,A. Sterry,"7-5, 6-1",1902
Women's,M.E.E. Watson,GBR,GBR,B Bingley,"6-1, 7-5",1885
Women's,M.E.E. Watson,GBR,GBR,L.M. Watson,"6-8, 6-3, 6-3",1884
Women's,P.D.H. Boothby,GBR,GBR,A.M. Morton,"6-4, 4-6, 8-6",1909
Women's,R.L. Chambers,GBR,GBR,D.T.R. Larcombe,"7-5, 6-4",1914
Women's,R.L. Chambers,GBR,GBR,P.D.H. Boothby,"6-0, 6-0",1911
Women's,R.L. Chambers,GBR,GBR,P.D.H. Boothby,"6-2, 6-2",1910
Women's,R.L. Chambers,GBR,GBR,R.J. McNair,"6-0, 6-4",1913
Women's,D.K. Douglass,USA,GBR,M.G. Sutton,"6-3, 9-7",1906
Women's,K. McKane,USA,GBR,H.N. Wills,"4-6, 6-4, 6-4",1924
Women's,D.E. Round,USA,GBR,H.H. Jacobs,"6-2, 5-7, 6-3",1934
Women's,S.V. Wade,NED,GBR,B.F. Stove,"4-6, 6-3, 6-1,",1977
Women's,P.F. Jones,USA,GBR,L.W. King,"3-6, 6-3, 6-2,",1969
Women's,D.E. Round,POL,GBR,J. Jedrzejowska,"6-2, 2-6, 7-5",1937
Women's,F.A.M. Mortimer,GBR,GBR,C.C. Truman,"4-6, 6-4, 7-5,",1961
Women's,S.M. Graf,ARG,GER,G.B. Sabatini,"6-4, 3-6, 8-6,",1991
Women's,S.M. Graf,ESP,GER,A.I.M. Sanchez Vicario,"4-6, 6-1, 7-5,",1995
Women's,S.M. Graf,USA,GER,M. Navratilova,"5-7, 6-2, 6-1,",1988
Women's,S.M. Graf,USA,GER,M. Navratilova,"6-2, 6-7 (1-7), 6-1,",1989
Women's,S.M. Graf,ESP,GER,A.I.M. Sanchez Vicario,"6-3, 7-5,",1996
Women's,C. Aussem,GER,GER,H. Krahwinkel,"6-2, 7-5",1931
Women's,S.M. Graf,CZE,GER,J. Novotna,"7-6 (8-6), 1-6, 6-4,",1993
Women's,S.M. Graf,YUG,GER,M. Seles,"6-2, 6-1,",1992
Women's,M. Sharapova,USA,RUS,S.J. Williams,"6-1, 6-4",2004
Women's,M. Hingis,CZE,SUI,J. Novotna,"2-6, 6-3, 6-3",1997
Women's,M.G. Sutton,GBR,USA,D.K. Douglass,"6-3, 6-4",1905
Women's,M.G. Sutton,GBR,USA,R.L. Chambers,"6-1, 6-4",1907
Women's,M. Navratilova,USA,USA,J.M. Lloyd,"4-6, 6-3, 6-2,",1985
Women's,C.M. Evert,AUS,USA,R.A. Cawley,"6-3, 4-6, 8-6,",1976
Women's,H.N. Wills,ESP,USA,E.M. de Alvarez,"6-2, 6-3",1928
Women's,F.S. Moody,GBR,USA,D.E. Round,"6-4, 6-8, 6-3",1933
Women's,M. Navratilova,GER,USA,S.M. Graf,"7-5, 6-3,",1987
Women's,J.M. Lloyd,TCH,USA,H. Mandlikova,"6-2, 6-2,",1981
Women's,A.L. Brough,USA,USA,W. du Pont,"10-8, 1-6, 10-8,",1949
Women's,A.L. Brough,USA,USA,W. du Pont,"6-1, 3-6, 6-1,",1950
Women's,M. Navratilova,USA,USA,J.M. Lloyd,"6-1, 3-6, 6-2,",1982
Women's,M. Navratilova,USA,USA,J.M. Lloyd,"6-4, 6-4,",1979
Women's,M. Navratilova,USA,USA,J.M. Lloyd,"7-6 (7-5), 6-2,",1984
Women's,M.C. Connolly,USA,USA,D.J. Hart,"8-6, 7-5,",1953
Women's,S. Williams,ESP,USA,G. Muguruza,"6-4, 6-4",2015
Women's,S.J. Williamsms,RUS,USA,V. Zvonareva,"6-3, 6-2",2010
Women's,L.W. King,GBR,USA,P.F. Jones,"6-3, 6-4,",1967
Women's,M. Navratilova,TCH,USA,H. Mandlikova,"7-6 (7-1), 6-3,",1986
Women's,M. Navratilova,USA,USA,A. Jaeger,"6-0, 6-3,",1983
Women's,M.E. Osborne,USA,USA,D.J. Hart,"6-2, 6-4,",1947
Women's,P.M. Betz,USA,USA,A.L. Brough,"6-2, 6-4,",1946
Women's,H.N. Wills,ESP,USA,E.M. de Alvarez,"6-2, 6-4",1927
Women's,S. Williams,GER,USA,A. Kerber,"7-5, 6-3",2016
