love,amourous,seduce,heart,word,hate,distrust,distaste,annoy,word.1,hope,pray,peace,calm,word.2,timid,introvert,quiet,alone,word.3,technology,computer,smartphone,tablet,word.4,housing,condo,single,apartment,word.5,school,university,elementary,highschool,word.6,gendernorms,male,female,nonbinary,word.7
0.9493493,0.218350339,0.702518482,0.028480478999999996,wish,0.6888931,0.165334344,0.34444655,0.186001137,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.57763785,0.2945953035,0.1444094625,0.1328567055,won,0.4059966,0.097439184,0.113679048,0.194878368,' t,,,,,,,,,,,,,,,,,,,,
