Pro_name,Pro_color,Cus_name,Rating,Title,Date,Review
iphone 11,Black,brenda,1,"Misled,","Reviewed in the United States on December 26, 2019","Very disappointed with this purchase: Was same price as a brand new Apple I-Phone. This phone had 2 deep scratches on screen, did not come with earphones, was not an Apple charging cord, (although it had a sticker saying it was), was not an Apple charger"
iphone 11,Black,Katherine,1,It is scam. Beware!!!!,"Reviewed in the United States on November 1, 2020","I purchased this iPhone 11 because it said it was unlocked. I have always owned unlocked iphones and never had troubles with them. I live in Guatemala. This iPhone 11 was working for a few days but all of the sudden ""stopped"" recognizing my SIM card. As"
iphone 11,Black,Amazon Customer,1,Dona??t trust Tech Exchange!,"Reviewed in the United States on May 19, 2020",Dona??t trust the refurbished phone from Tech Exchange!! The ear speaker on this phone does not work. I can turn the phone on speaker phone and make a phone call but when you try and take it off speakerphone all you hear is garbled voices and a lot of st
iphone 11,Black,ALICIA LIVINGSTON,1,HORRIBLE !!,"Reviewed in the United States on April 27, 2020",I havena??t had the phone for 2 weeks and now the power button isna??t working and now the seller isna??t responding !!!
iphone 11,Black,Courtney Huschka,4,everything OK but the price is still too high compared to a new one with all original accessoires,"Reviewed in the United States on April 15, 2020","IPhone was shipped in two-day delivery. The box inside of a FedEx bag came opened but the FedEx bag itself was untouched, so I presume it was not completely closed before sealing the bag. The phone came with no scratch or sign of usage at all, a screen p"
iphone 11,Black,Nick ouimet,1,"Not ""Fully unlocked and compatible with any carrier of choice""","Reviewed in the United States on April 24, 2020","""Fully unlocked and compatible with any carrier of choice"" is is a false statement in their add for Amazon. When I received the phone there was a paper inside the box saying not compatible with Sprint or Boost Mobile. I happen to use one of those carrier"
iphone 11,Black,Corrine,5,This is not a scam!!! Please read!!,"Reviewed in the United States on September 24, 2020","This is not a scam!! I repeat this is not a scam! I love iPhones, I always want a nice good working phone that I know wona??t take a dump in me because me being a single mom I need to beable to keep in touch with school and grandpa so if anything happens"
iphone 11,Black,Linda,5,A better alternative to buying a new iphone,"Reviewed in the United States on May 30, 2020","Every things right, battery came with %100 capacity, and it arrived 4 days early through FedEx, i got the color and device storage I ordered. Theres a few scratches on the bare screen which prove its used, (i peeled the screen protector it came with off "
iphone 11,Black,Edgar Ortiz Romero,5,100% recomendado,"Reviewed in the United States on December 16, 2019",Excelente tel??fono e??? y muy buena la c??mara lo recomiendo 100%
iphone 11,Black,Deonna Henry,5,Product was exactly whatbit was supposed to b,"Reviewed in the United States on April 26, 2020",My son loved this phone. We had no problems setting anything up. Worked perfect. In brand new apple box as well
iphone 11,Black,Ana R.,,Looks and Works like new !!,"Reviewed in the United States on February 22, 2020",I just received this phone on Friday(3 days earlier than expectede?¡è?e?¡è?)and it is absolutely lovelye?¡è?. It came in a generic box with an apple compatible charger and cable. No scratches or imperfections that I can see at this time . The battery capaci
iphone 11,Black,brenda,5,Ita??s like brand new,"Reviewed in the United States on February 24, 2020",The phone comes in the original iPhone box which was a nice bonus and difference between other companies that send unlocked iPhones in normal cardboard boxes and it works perfectly
iphone 11,Black,Katherine,4,"Works perfectly, well packaged and looks brand new.","Reviewed in the United States on April 2, 2020","I shopped around a lot for a renewed, refurbished iPhone 11. This was not the cheapest but really close. The selling point for me is that it comes with a 90 day warranty and refund policy and is sold through Amazon Prime. We received the phone 4 days ago"
iphone 11,Black,David Frye,4,Read the Review; Android Gang,"Reviewed in the United States on December 12, 2019","As far as buying this product from this specific seller, my experience has been great! Nothing to complain about. There were no scratches in the glass display, not to mention there werena??t any on the back glass or camera lenses either. But as far as th"
iphone 11,Black,Davanna Gilchrist,5,Works good like new,"Reviewed in the United States on June 7, 2020","Work totally fine so far, Ia??m satisfied with the functionality. But It didna??t come with earphones."
