transaction date,est_revenue,vod_revenue,est_trannx,vod_trannx,nr_est_rev,nr_vod_rev,lib_est_rev,lib_vod_rev,d2d_revenue,total_rev,discounted_rev,new_paids,ex_paids
00:00.0,883398.43,327049.69,70809,73522,432092.17,206600.47,366104.17,120449.22,29432.11,1240003.12,253227.98,5756,108706
00:00.0,494782.23,154093.7,41313,35989,215574,86498.81,213250.85,67594.89,21276.08,670284.9,122352.06,3190,59195
00:00.0,1184624.22,247190.71,140774,52349,347370.06,188791.07,695143.89,58399.64,17839.71,1449793.49,844587.42,4223,98039
00:00.0,852528.29,213011.11,94931,46728,245316.42,153484.82,507170.9,59526.29,18259.52,1083882.81,573682.43,3977,83087
00:00.0,922993.71,249178.5,100045,55016,273576.04,173438.08,544397.89,75740.42,19790.37,1192131.41,593598.84,4671,95315
00:00.0,1174901.33,370863.62,120903,81601,404746.71,261718.57,660713.78,109145.05,22252.83,1568152.65,721481.93,6258,130661
00:00.0,1144682.09,428253.32,113482,95092,391099.4,295035.87,653206.3,133217.45,27368.73,1600445.97,691976.7,7300,139614
00:00.0,1066277.11,403826.52,103736,92061,358972.5,255539.05,612616.07,148287.47,29525.82,1499690.36,633047.03,7521,134558
00:00.0,1406680.47,418870.37,143275,99344,422924.03,220141.5,892313.14,198728.87,26938.39,1852597.11,974906.75,9519,156048
00:00.0,1598939.07,533899.54,161051,123049,527974.65,331245.94,965316.61,202653.6,29249.59,2162201.08,1114039.08,11752,177078
00:00.0,838735.57,313660.13,81236,71551,288632.02,212617.86,451091.18,101042.27,25803.56,1178359.08,474945.15,6077,103285
00:00.0,869536.19,274225.74,79626,63107,351547.54,183590.03,422712.23,90635.71,26631.12,1170558.88,445712.3,5632,97784
00:00.0,1053114.36,365468.99,95160,81240,462345.46,262568.93,485942.18,102900.06,28906.18,1447652.37,534132.05,6616,120737
00:00.0,991468.09,396407.08,90690,88608,409780.83,282273.47,479838.06,114133.61,34757.71,1422794.7,519234.88,7177,124116
00:00.0,916774.7,389493.59,84308,87933,351087.97,269738.64,458818.58,119754.95,34488.72,1340859.88,480084.96,7197,120376
00:00.0,1295768.65,419776.5,200864,95267,422576.35,291025.47,758293.64,128751.03,42972.19,1758617.21,862573.12,8387,151557
00:00.0,1251757.71,454458.18,169529,100744,423006.76,316082.22,685211.21,138375.96,75826.18,1782224.87,771930.74,9000,151857
00:00.0,517209.94,220647.45,41794,49101,200909.82,138422.73,226652.21,82224.72,40236.29,778274.53,95181.91,4081,68760
00:00.0,516877.78,198978.1,42037,44483,178202.65,123836.76,247397.41,75141.34,37727.81,753648.63,83879.99,3765,65448
00:00.0,719986.9,333338.6,64581,72221,253091.87,224143.03,359467.63,109195.57,37398.98,1090827.38,164627.56,6410,100114
00:00.0,713471.36,396546.64,60099,85709,262814.89,265919.58,344280.76,130627.06,48470.16,1158647.96,126198.29,7084,109436
00:00.0,622612.17,309055.92,54065,67880,204845.12,198692.17,307085.51,110363.75,41535.19,973400.12,109946.16,6049,90161
00:00.0,435303.49,137259.76,38585,31264,169804.91,79989.45,182269.93,57270.31,22461.98,595085.16,66576.3,3287,51916
00:00.0,525112.22,143353.18,48471,32275,167111.39,87673.74,232461.95,55679.44,22305.36,690858.67,133382.68,3611,55444
00:00.0,433528.42,136377.9,38898,31270,127779.15,79320.62,204406.09,57057.28,22552.86,592534.1,85087.76,3030,50830
00:00.0,431071.13,142854.2,38415,32809,124783.54,82021.18,206710.83,60833.02,22871.9,597002.09,78346.1,3091,52105
00:00.0,760171.78,308977.65,73088,68147,237380.87,195240.47,410740.62,113737.18,30187.52,1099474.83,200369.68,5210,99449
00:00.0,817200.37,393632.56,72468,87776,259645.62,244561.87,438384.31,149070.69,40169.48,1251167.25,181026.05,7030,115835
00:00.0,664604.84,313214.33,58275,70342,194010.55,186252.11,355591.91,126962.22,38649.89,1016628.9,125933.75,6005,93920
00:00.0,566762.18,138679.23,45742,32247,277144.17,73263.37,204883.86,65415.86,19324.91,724929.17,79447.5,3202,57334
00:00.0,711008.89,159497.48,52855,35326,419062.12,99612.82,205811.85,59884.66,21734,892319.3,92721.37,3861,64287
00:00.0,475619.95,121120.62,37200,27232,235668.43,71598.79,172847.91,49521.83,45005.37,641885.82,67067.09,3033,51622
00:00.0,553912.55,161066.15,43141,36904,256515.65,89640.53,214942.43,71425.62,40333.64,755444.21,74653.87,4207,61151
00:00.0,1020570.88,334946.16,86966,74238,518107.81,207185.88,411754.19,127760.28,38434.14,1394002.12,209933.16,7659,114138
00:00.0,1120770.88,501550.38,87704,111561,578604.18,310213.38,440114.83,191337,50244.21,1672674.37,172476.96,11918,144614
00:00.0,814618.19,367722.11,65693,83801,368040.75,209856.89,353205.72,157865.22,38422.51,1220924.67,126601.12,9245,109214
00:00.0,800252.08,218347.19,60648,51057,464070.06,113413.54,249384.5,104933.65,33438.67,1052134.84,92131.22,5954,81818
00:00.0,934883.1,150433.67,68427,35375,555923.63,83155.7,296085.88,67277.97,22255.08,1107715.73,228183.29,4129,72614
00:00.0,698920.82,139045.41,52456,33217,386433.07,74125.61,230990.66,64919.8,23453.92,861504.05,146552.85,4062,62378
00:00.0,642524.6,143770.91,49220,35385,332522.47,76563.43,224933.73,67207.48,23402.59,809727.07,131321.32,4213,61884
00:00.0,1131254.33,290967.95,104087,68794,588427.15,170133.1,451600.68,120834.85,27733.47,1450042.65,388940.53,7658,116564
00:00.0,1192676.59,416320.2,97672,97951,636856.38,245010.99,457536.31,171309.21,37865.99,1647056.59,313861.78,10841,139272
00:00.0,951518.47,322204.88,80118,76950,461544.34,176796.92,391003.97,145407.96,35205.67,1309024.91,262770.26,9047,111373
00:00.0,516395.47,142949.97,46225,35255,210936.6,68134.82,229721.12,74815.15,20912.44,680331.81,149906.72,4410,58410
00:00.0,717242.44,197276.09,60180,45191,351597.36,117812.56,277490.37,79463.53,18563.23,933184.67,202026.55,4669,73916
00:00.0,651724.69,206909.12,53586,48023,296837.96,116519.5,268443.5,90389.62,22438.74,881208.4,163047.05,5088,73056
00:00.0,657426.74,168615.32,54931,39230,273701.53,92662.3,294118.14,75953.02,28907.44,855194.29,186411.58,3953,67055
00:00.0,1114314.06,305673.96,95149,69085,471999.67,180337.04,512795.16,125336.92,32856.1,1453014.97,411924.44,6434,113015
00:00.0,1197442.49,430763.29,97701,97895,531812.94,253466.26,533766.39,177297.03,45359.86,1673829.39,378306.7,9486,140241
00:00.0,765124.48,223825.72,64911,52746,272981.96,117207.4,380275.14,106618.32,31048.05,1020083.16,269492.16,5513,82655
00:00.0,559468.41,143100.12,47378,34358,212628.54,69005.6,254724.1,74094.52,20013.64,722728.04,183139.38,3689,58445
00:00.0,765823.84,162156.13,60683,36053,417846.79,100809.44,270614.11,61346.69,18962.02,947153.79,192813.36,3666,69419
00:00.0,608362.83,163871.53,49344,36612,289252.94,97369.06,237060.37,66502.47,20230.94,792609.17,142940.47,3783,63243
00:00.0,616528.99,173993.57,49430,39124,271005.49,100656.42,253179.32,73337.15,20672.16,811288.63,139724.49,3977,65469
00:00.0,1003500.93,345126.42,76788,75061,463476.7,220692.72,439971.13,124433.7,27365.66,1376115.89,292563.23,6831,113548
00:00.0,1122788.6,486140.32,83192,106294,541788.89,307185.02,472351.29,178955.3,39202.16,1648297.92,272442.44,9939,141787
00:00.0,927638.08,372653.48,69809,83590,401573.86,218442.91,413324.2,154210.57,32956.51,1333360.95,225937.05,8223,114000
00:00.0,579086.15,154665.01,46898,36255,257314.92,78697.23,237028.15,75967.78,21476.72,755306.78,139957.87,4017,62504
00:00.0,1103429.04,194004.17,75514,43165,753364.4,123551.91,266792.91,70452.26,23088.81,1320600.94,174086.97,4592,86718
00:00.0,758084.78,158286.02,55729,35873,431919.44,94944.54,246571.4,63341.48,20966.89,937352.68,149154.66,3888,67717
00:00.0,1198655.97,243856.98,79514,54789,801568.35,147457.57,312871.91,96399.41,24490.8,1467003.75,191548.78,5919,103120
00:00.0,1541078.61,354452.73,106111,77529,1030640.42,228265.62,416066.54,126187.11,30684.27,1926215.61,231359.58,8210,134184
00:00.0,1495510.62,474553.18,100766,103640,964109.47,304960.74,430167.88,169592.44,39657.68,2009721.48,195553.14,11232,151863
00:00.0,1236148.53,424121.43,85320,94676,737887.1,253122.03,396695.76,170999.4,39259.26,1699529.22,171998.64,10409,134010
00:00.0,960415.61,208996.97,82395,48547,537542,109224.05,321932.97,99772.92,26762.71,1196175.29,194810.33,5839,89992
00:00.0,876509.57,215347.04,67631,46526,543215.44,146512.33,258921.02,68834.71,18725.39,1110582,162633.55,5610,82137
00:00.0,776578.16,214768.39,62948,47587,426307.69,139093.41,271010.61,75674.98,21764.66,1013111.21,150054.92,5843,78652
00:00.0,743150.36,195825.25,58082,43645,377738.01,123909.92,281810.99,71915.33,20424.1,959399.71,149682.78,5199,74295
00:00.0,1324249.23,403958.86,114794,86397,676938.14,281850.57,547001.76,122108.29,26637.16,1754845.25,348446.49,10246,141273
00:00.0,1447473,596780.37,111534,129224,818354.1,421661.39,521666.79,175118.98,39570.48,2083823.85,279355.7,17411,171624
00:00.0,1175783.98,438078.34,91584,96940,614232.43,293920.34,445954.73,144158,35861.6,1649723.92,229456.58,13875,134949
00:00.0,846902.45,205382.28,66005,46806,500087.18,132875.06,257615.85,72507.22,18631.79,1070916.52,139299.2,7916,82440
00:00.0,1019474.65,223537.26,75663,48576,680370.19,157612.31,253643.29,65924.95,18472,1261483.91,202161.86,6374,90772
00:00.0,844618.73,204058.65,63063,44860,480711.2,136971.34,272542.46,67087.31,20219.88,1068897.26,155679.58,5768,77650
00:00.0,881103.96,214630.28,68171,46921,466307.55,143321.49,318033.67,71308.79,23430.59,1119164.83,175259.96,5597,82843
