tsfTenantID,networkID,cidrBlock,userdefined_region
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,185.48.120.0/22,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.76.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,64.252.116.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,34.240.0.0/13,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.94.248.16/28,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.72.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,176.34.128.0/17,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,34.248.0.0/13,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,108.128.0.0/13,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,64.252.114.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,52.18.0.0/15,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,162.213.233.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,54.246.0.0/16,eu-west-1
