"country","legatumRank2020","legatumRank2019","ceoworldRank","pop2022"
"Vietnam","73","81","66","98953.5410"
"Colombia","74","71","35","51512.7620"
"Russia","76","75","58","145805.9470"
"Bosnia and Herzegovina","77","73","","3249.3170"
"Azerbaijan","78","91","86","10300.2050"
"Paraguay","79","78","","7305.8430"
"Moldova","80","83","","4013.1710"
"Suriname","81","79","","596.8310"
"Botswana","82","80","","2441.1620"
"Philippines","83","82","38","112508.9940"
"Sri Lanka","84","77","40","21575.8420"
"Mongolia","85","88","","3378.0780"
"Jordan","86","86","43","10300.8690"
"South Africa","87","84","53","60756.1350"
"Namibia","88","87","","2633.8740"
"Ecuador","89","85","25","18113.3610"
"Kyrgyzstan","90","89","","6728.2710"
"Guyana","91","90","","794.0450"
"Ukraine","92","96","81","43192.1220"
"El Salvador","93","100","","6550.3890"
"Turkey","94","92","65","85561.9760"
"Belize","95","93","","412.1900"
"Morocco","96","94","83","37772.7560"
"Uzbekistan","97","102","","34382.0840"
"Tunisia","99","95","59","12046.6560"
"Ghana","100","97","","32395.4500"
"India","101","98","19","1406631.7760"
"Guatemala","102","99","","18584.0390"
"Cuba","103","105","","11305.6520"
"Rwanda","104","103","","13600.4640"
"Lebanon","105","104","45","6684.8490"
"Bolivia","106","106","","11992.6560"
"Honduras","107","107","","10221.2470"
"Algeria","108","108","68","45350.1480"
"Turkmenistan","109","113","","6201.9430"
"Senegal","110","111","","17653.6710"
"Nicaragua","111","109","","6779.1000"
"Tajikistan","112","110","","9957.4640"
"Kenya","113","112","70","56215.2210"
"Nepal","114","114","61","30225.5820"
"Laos","115","115","","7481.0230"
"Gambia","116","117","","2558.4820"
"Tanzania","117","121","","63298.5500"
"Cambodia","118","120","","17168.6390"
"Djibouti","119","122","","1016.0970"
"Iran","120","119","78","86022.8370"
"Egypt","121","124","84","106156.6920"
"Gabon","122","116","","2331.5330"
"Zambia","123","118","","19470.2340"
"Ivory Coast","124","129","","27742.2980"
"Bangladesh","125","123","85","167885.6890"
"Benin","126","128","","12784.7260"
"Myanmar","127","127","","55227.1430"
"Comoros","128","125","","907.4190"
"Papua New Guinea","129","126","","9292.1690"
"Lesotho","130","130","","2175.6990"
"Equatorial Guinea","131","132","","1496.6620"
"Malawi","132","131","","20180.8390"
"Uganda","133","134","","48432.8630"
"Eswatini","134","133","","1184.8170"
"Burkina Faso","135","135","","22102.8380"
"Madagascar","136","138","","29178.0770"
"Iraq","137","136","87","42164.9650"
"Pakistan","138","139","88","229488.9940"
"Guinea","139","143","","13865.6910"
"Togo","140","140","","8680.8370"
"Liberia","141","137","","5305.1170"
"Mozambique","142","142","","33089.4610"
"Zimbabwe","143","141","","15331.4280"
"Nigeria","144","146","73","216746.9340"
"Sierra Leone","145","144","","8306.4360"
"Venezuela","146","145","89","29266.9910"
"Guinea-Bissau","147","147","","2063.3670"
"Mali","148","150","","21473.7640"
"Libya","149","148","","7040.7450"
"Ethiopia","150","149","","120812.6980"
"Cameroon","151","152","","27911.5480"
"Republic of the Congo","152","153","","5797.8050"
"Niger","153","151","","26083.6600"
"Mauritania","154","156","","4901.9810"
"Haiti","155","154","","11680.2830"
"Angola","156","155","","35027.3430"
"Burundi","157","158","","12624.8400"
"Syria","158","157","","19364.8090"
"Eritrea","160","160","","3662.2440"
"DR Congo","161","162","","95240.7920"
"Afghanistan","162","163","","40754.3880"
"Somalia","163","161","","16841.7950"
"Chad","164","164","","17413.5800"
"Yemen","165","166","","31154.8670"
"Central African Republic","166","165","","5016.6780"
"South Sudan","167","167","","11618.5110"
