STATION,NAME,DATE,TMAX
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-25,89
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-26,90
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-27,85
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-28,92
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-29,88
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-30,86
USC00367732,"SAFE HARBOR DAM, PA US",2020-08-31,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-01,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-02,76
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-03,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-04,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-05,85
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-06,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-07,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-08,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-09,83
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-10,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-11,80
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-12,78
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-13,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-14,78
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-15,77
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-16,67
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-17,71
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-18,74
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-19,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-20,68
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-21,65
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-22,66
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-23,72
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-24,82
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-25,71
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-26,76
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-27,67
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-28,74
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-29,77
USC00367732,"SAFE HARBOR DAM, PA US",2020-09-30,77
