,Country,TotalCases,NewCases,TotalDeaths,NewDeaths
1,China,161692,1576,4638,
2,USA,82033456,35424,1011665,404
3,India,43034217,1150,521686,82
4,Brazil,30123963,29575,661182,147
5,France,26698031,148768,143156,139
6,Germany,22534061,169454,132141,336
7,UK,21549830,25305,169759,347
8,Russia,17969431,14311,371169,280
9,Italy,15174136,66964,160546,144
10,S. Korea,14983694,205289,18754,373
11,Turkey,14946379,7120,98342,31
12,Spain,11627487,16278,103104,119
13,Vietnam,10135789,39334,42768,35
14,Argentina,9051243,1993,128194,36
15,Netherlands,7971855,10903,22080,14
16,Iran,7186992,3184,140528,36
17,Japan,6887421,55044,28528,72
18,Colombia,6087443,320,139703,10
19,Indonesia,6030168,1755,155556,47
20,Poland,5976359,1325,115594,58
21,Mexico,5715504,32216,323508,105
22,Ukraine,4982249,2025,108118,20
23,Australia,4970754,59029,6526,31
24,Malaysia,4307529,14944,35259,31
25,Israel,3987834,5303,10559,
26,Austria,3964246,14085,16168,27
27,Belgium,3915732,,30997,
28,Czechia,3855914,4979,39861,22
29,Thailand,3833048,25140,25880,89
30,South Africa,3730066,1377,100084,9
31,Philippines,3680799,287,59660,69
32,Portugal,3667184,9413,21874,22
33,Canada,3560840,8557,37977,42
34,Peru,3550791,551,212438,18
35,Switzerland,3512093,,13752,3
36,Chile,3504783,4113,56955,43
37,Greece,3152477,14763,28025,57
38,Denmark,2932847,2503,5861,24
39,Romania,2870486,1709,65179,9
40,Sweden,2491980,,18472,
41,Iraq,2321630,261,25183,2
42,Serbia,1987756,1317,15869,7
43,Bangladesh,1951995,48,29123,
44,Hungary,1868007,2400,45721,37
45,Slovakia,1745268,3573,19523,23
46,Jordan,1694216,,14048,
47,Georgia,1650981,273,16766,1
48,Pakistan,1526234,141,30361,
49,Ireland,1487164,2843,6863,20
50,Norway,1414993,1036,2667,
51,Kazakhstan,1305265,20,13660,
52,Hong Kong,1185727,2492,8643,86
53,Morocco,1163888,82,16061,
54,Bulgaria,1144822,715,36685,13
55,Singapore,1132169,4014,1297,7
56,Croatia,1107648,1091,15660,8
57,Cuba,1095625,619,8517,
58,Lebanon,1094314,218,10334,3
59,Lithuania,1038988,1524,8957,14
60,Tunisia,1037358,,28425,
61,Slovenia,984880,1902,6527,4
62,Nepal,978556,11,11951,
63,Belarus,968676,945,6870,4
64,Finland,920692,,3334,
65,Bolivia,903062,142,21899,2
66,UAE,893312,240,2302,
67,Uruguay,893009,555,7181,2
68,Ecuador,863398,,35461,
69,Costa Rica,841343,,8327,
70,Guatemala,834481,758,17367,6
71,Latvia,807385,960,5673,3
72,Azerbaijan,792188,22,9703,
73,Panama,766504,327,8174,
74,New Zealand,751974,9987,435,9
75,Saudi Arabia,751622,104,9055,1
76,Sri Lanka,662505,80,16489,2
77,Paraguay,648446,93,18734,3
78,Kuwait,630252,118,2555,
79,Myanmar,612224,92,19434,
80,Palestine,581467,,5351,
81,Dominican Republic,578416,,4375,
82,Estonia,562938,827,2486,5
83,Bahrain,559034,425,1472,
84,Venezuela,521325,139,5692,1
85,Moldova,515121,239,11460,5
86,Egypt,509177,,24473,
87,Libya,501738,,6419,
88,Ethiopia,470005,26,7508,
89,Mongolia,469017,86,2177,
90,Cyprus,454362,2028,979,22
91,Armenia,422643,14,8619,
92,Honduras,421268,,10888,
93,Oman,388603,,4253,
94,Bosnia and Herzegovina,376081,53,15732,4
