tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1713499	movie	Meena	Meena	0	2012	\N	\N	Drama
tt2543164	movie	Arrival	Arrival	0	2016	\N	116	Drama,Sci-Fi
