tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt11351144	tvEpisode	Kapitel 249	Kapitel 249	0	2010	\N	\N	Drama,Romance
tt13973364	tvEpisode	Carlos Miguel	Carlos Miguel	0	2006	\N	\N	Talk-Show
tt4201304	tvEpisode	Episode #1.9	Episode #1.9	0	2004	\N	52	Drama,Romance
tt5991910	tvEpisode	Episode #8.54	Episode #8.54	0	2016	\N	\N	Comedy
tt7052686	tvEpisode	Episode #1.172	Episode #1.172	0	1995	\N	\N	Adventure,Comedy,Family
tt3693356	tvEpisode	Tyven - tyven	Tyven - tyven	0	2005	\N	27	Drama,Family,Romance
tt0054135	movie	Ocean's 11	Ocean's Eleven	0	1960	\N	127	Comedy,Crime,Music
tt0240772	movie	Ocean's Eleven	Ocean's Eleven	0	2001	\N	116	Crime,Thriller
tt0450069	video	The Oceans 11 Story	The Ocean's Eleven Story	0	2001	\N	70	Documentary
tt9832806	tvEpisode	Blue Mountains	Blue Mountains	0	2019	\N	23	Documentary
