X,y
1,0
2,11
3,21
4,21
5,21
6,25
7,261
8,693
9,2355
10,6930
11,23867
12,59830
13,112060
14,183925
15,283223
16,444062
17,638985
18,920750
19,1274960
20,1725903
21,2243635
22,2874657
23,3701957
24,4711159
25,5952723
26,7556176
27,9696923
28,63060853
