,image_id,Image_label,Image_path,Duplicate_image,Duplicate_path,similarity_score
44,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,0.8408179879188538
45,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,0.9023927450180054
46,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,0.9276695847511292
47,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,0.8984067440032959
48,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (950).jpg,dataset1k\4\PPPT (950).jpg,0.869509756565094
49,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (951).jpg,dataset1k\4\PPPT (951).jpg,0.8227220773696899
50,768,PPPT (768).jpg,dataset1k\4\PPPT (768).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.8829402923583984
51,769,PPPT (769).jpg,dataset1k\4\PPPT (769).jpg,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,0.8295135498046875
52,769,PPPT (769).jpg,dataset1k\4\PPPT (769).jpg,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,0.888158917427063
53,769,PPPT (769).jpg,dataset1k\4\PPPT (769).jpg,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,0.8332711458206177
54,769,PPPT (769).jpg,dataset1k\4\PPPT (769).jpg,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,0.806879997253418
55,770,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,PPPT (829).jpg,dataset1k\4\PPPT (829).jpg,0.8264670372009277
56,770,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,0.8383756875991821
57,770,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,0.8286445140838623
58,770,PPPT (770).jpg,dataset1k\4\PPPT (770).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.8597956299781799
59,772,PPPT (772).jpg,dataset1k\4\PPPT (772).jpg,PPPT (832).jpg,dataset1k\4\PPPT (832).jpg,0.868687629699707
60,772,PPPT (772).jpg,dataset1k\4\PPPT (772).jpg,PPPT (892).jpg,dataset1k\4\PPPT (892).jpg,0.808680534362793
61,783,PPPT (783).jpg,dataset1k\4\PPPT (783).jpg,PPPT (965).jpg,dataset1k\4\PPPT (965).jpg,0.803598940372467
62,811,PPPT (811).jpg,dataset1k\4\PPPT (811).jpg,PPPT (933).jpg,dataset1k\4\PPPT (933).jpg,0.800431489944458
63,816,PPPT (816).jpg,dataset1k\4\PPPT (816).jpg,PPPT (938).jpg,dataset1k\4\PPPT (938).jpg,0.8170870542526245
64,818,PPPT (818).jpg,dataset1k\4\PPPT (818).jpg,PPPT (878).jpg,dataset1k\4\PPPT (878).jpg,0.8497310876846313
65,820,PPPT (820).jpg,dataset1k\4\PPPT (820).jpg,PPPT (942).jpg,dataset1k\4\PPPT (942).jpg,0.8078265190124512
66,830,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,0.8351773023605347
67,830,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,PPPT (950).jpg,dataset1k\4\PPPT (950).jpg,0.8645814657211304
68,830,PPPT (830).jpg,dataset1k\4\PPPT (830).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.8060367703437805
69,832,PPPT (832).jpg,dataset1k\4\PPPT (832).jpg,PPPT (892).jpg,dataset1k\4\PPPT (892).jpg,0.8683505654335022
70,865,PPPT (865).jpg,dataset1k\4\PPPT (865).jpg,PPPT (926).jpg,dataset1k\4\PPPT (926).jpg,0.8490803241729736
71,889,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,0.9016093015670776
72,889,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,PPPT (950).jpg,dataset1k\4\PPPT (950).jpg,0.8871217966079712
73,889,PPPT (889).jpg,dataset1k\4\PPPT (889).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.835175633430481
74,890,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,PPPT (950).jpg,dataset1k\4\PPPT (950).jpg,0.8973740339279175
75,890,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,PPPT (951).jpg,dataset1k\4\PPPT (951).jpg,0.8125221729278564
76,890,PPPT (890).jpg,dataset1k\4\PPPT (890).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.8428857922554016
77,951,PPPT (951).jpg,dataset1k\4\PPPT (951).jpg,PPPT (952).jpg,dataset1k\4\PPPT (952).jpg,0.858931839466095
