,Measure,DT,LR,SVR,KNN,BAG,RF,ADA,GB
0,1,__,__,__,__,__,__,__,__
1,RMSE,93.16262239546502,64.88311157028419,65.4315433560297,72.1825185221983,72.94662451042153,70.450923285002,103.12276134198329,66.48790406189211
2,MAPE,[8.08532321],[10.58452548],[49.70702488],[7.29606552],[6.61162432],[6.34870409],[62.19858046],[19.79082157]
3,MAE,34.24051125,23.398799714974913,25.678421306296087,27.908085500000002,27.679196750000003,27.05727442916667,71.92916580112764,28.272334348263772
4,R2Square,0.9166679008177959,0.9595803777502367,0.9588941871125408,0.9499743230311842,0.9489095987789674,0.952345678483831,0.897897122928735,0.9575562060269924
5,5,__,__,__,__,__,__,__,__
6,RMSE,80.29674615271955,60.84038774537243,59.14886416207698,62.88821396561281,60.540130380126435,58.86636920372499,94.44173173957262,58.796480932434406
7,MAPE,[12.54185205],[24.15097159],[71.97370148],[12.52199658],[9.96065519],[9.56057334],[144.35134026],[37.19834782]
8,MAE,32.216758291666665,29.508994507338976,29.683531460780184,25.54733593958333,24.43860398020833,23.371498115833333,72.9911685967395,29.738371612267184
9,R2Square,0.9383875857830823,0.9646282717915713,0.9665677849735341,0.9622070446306047,0.964976540928135,0.9668863668777605,0.9147684833047844,0.9669649475961981
10,10,__,__,__,__,__,__,__,__
11,RMSE,65.05531042892967,48.47874255522443,47.04625325797996,50.05494548637168,49.13253156449293,47.67533874776127,84.21374137092995,47.969577622140875
12,MAPE,[23.0025725],[46.84175328],[67.06252802],[26.67469915],[19.96682683],[19.24202979],[377.98437371],[71.478168]
13,MAE,30.99183685842457,27.253889525489228,24.24212468960954,24.196839128623022,23.495547292518268,22.488848521276957,67.9281234874488,26.525926589504902
14,R2Square,0.9358559002593719,0.9643800012260814,0.9664539576170977,0.9620261008608305,0.9634127733510215,0.9655508284592552,0.8925127055305936,0.965124294956365
15,15,__,__,__,__,__,__,__,__
16,RMSE,68.1194898022069,52.192045641361716,49.87466201306785,54.297603811857066,53.371324462486626,50.94223903296423,73.31184435217425,51.33571027501439
17,MAPE,[27.84418945],[58.06466636],[70.4702339],[40.56078999],[25.38153615],[25.18053276],[178.36842225],[78.35503798]
18,MAE,34.425795361920365,30.8636117570491,26.057533013592344,27.28106661661636,26.76178490968644,25.194512518526853,55.961328452130104,28.903060302436003
19,R2Square,0.9296794247382603,0.9587191833701627,0.9623036264004117,0.955321254500157,0.9568326287333511,0.9606725578934234,0.9185505918839896,0.9600626915738074
20,30,__,__,__,__,__,__,__,__
21,RMSE,76.27721021937319,59.02561314699608,51.44897928569551,56.7699657790785,55.85777065129715,53.450829104550024,79.61069155391549,54.90595179437119
22,MAPE,[52.28251779],[139.9460173],[68.17680489],[94.71782914],[53.70427449],[43.27750315],[404.16420282],[118.62991762]
23,MAE,40.05017436823584,39.65535840087034,29.401443710964262,32.071597585933375,30.811126370149143,28.711021329099367,64.23815528753539,34.071215262833654
24,R2Square,0.9121112008279539,0.9473710211378301,0.960014967301424,0.9513165671626392,0.9528685146905764,0.9568428435819509,0.9042614771605061,0.9544610745922427
