Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-12-17,0.0789,,0.0289,-0.0470,0.0148,,0.0057,,0.1322,,0.0479,,0.0206,,0.0071,,0.0208,,0.0387,,,253,0.0616,259,0.0609,439,0.0468,269,0.0598,83,0.1076,313,0.0554,306,0.0560,449,0.0462,655,0.0383,564,0.0413,us,Twitch,Daily Users
2018-12-24,0.1164,,0.0354,,0.0112,,0.0000,,0.1176,,0.0848,,0.0124,,0.0067,,0.0232,,0.0499,,,284,0.0582,363,0.0514,483,0.0446,287,0.0578,92,0.1022,384,0.0500,379,0.0503,491,0.0442,725,0.0364,692,0.0373,us,Twitch,Daily Users
2018-12-31,0.0927,,0.0320,,0.0155,,0.0000,,0.1485,,0.0469,,0.0246,,0.0000,,0.0188,,0.0485,,,293,0.0573,313,0.0554,472,0.0451,255,0.0614,130,0.0860,357,0.0519,346,0.0527,455,0.0459,681,0.0376,653,0.0384,us,Twitch,Daily Users
2019-01-07,0.0787,,0.0564,,0.0177,,0.0000,,0.0975,,0.0644,,0.0368,,0.0026,,0.0265,,0.0481,,,308,0.0558,350,0.0524,476,0.0449,276,0.0590,118,0.0902,397,0.0492,385,0.0499,450,0.0462,715,0.0366,696,0.0371,us,Twitch,Daily Users
2019-01-14,0.1316,,0.0355,,0.0158,,0.0000,,0.1827,,0.0524,,0.0359,,0.0000,,0.0220,,0.0635,,,255,0.0614,392,0.0495,431,0.0472,257,0.0611,115,0.0914,386,0.0499,364,0.0514,428,0.0474,735,0.0361,601,0.0400,us,Twitch,Daily Users
2019-01-21,0.1258,,0.0707,0.0352,0.0130,,0.0043,,0.1608,,0.0857,,0.0311,,0.0080,,0.0348,,0.0694,,,324,0.0544,353,0.0522,482,0.0446,277,0.0589,132,0.0853,432,0.0472,358,0.0518,467,0.0453,766,0.0354,669,0.0379,us,Twitch,Daily Users
2019-01-28,0.0819,,0.0302,-0.0405,0.0054,,0.0000,,0.1307,,0.0500,,0.0070,-0.0240,0.0000,,0.0141,-0.0208,0.0421,-0.0273,,274,0.0592,336,0.0535,423,0.0476,260,0.0608,96,0.1000,401,0.0489,325,0.0544,402,0.0489,696,0.0371,597,0.0401,us,Twitch,Daily Users
2019-02-04,0.1125,,0.0407,,0.0072,,0.0022,,0.1520,,0.0673,,0.0128,,0.0000,,0.0171,,0.0564,,,245,0.0626,328,0.0541,452,0.0461,234,0.0641,106,0.0952,347,0.0526,358,0.0518,392,0.0495,670,0.0379,590,0.0403,us,Twitch,Daily Users
2019-02-11,0.1060,,0.0340,,0.0088,,0.0072,,0.1208,,0.0646,,0.0159,,0.0055,,0.0111,,0.0572,,,259,0.0609,354,0.0521,427,0.0474,295,0.0571,98,0.0990,388,0.0498,345,0.0528,428,0.0474,672,0.0378,664,0.0380,us,Twitch,Daily Users
2019-02-18,0.0901,,0.0547,,0.0053,,0.0078,,0.0992,,0.0603,,0.0302,,0.0059,,0.0268,,0.0459,,,264,0.0603,333,0.0537,450,0.0462,243,0.0629,114,0.0918,362,0.0515,352,0.0522,418,0.0479,675,0.0377,615,0.0395,us,Twitch,Daily Users
2019-02-25,0.0892,,0.0384,,0.0063,,0.0000,,0.0449,,0.0852,,0.0123,,0.0033,,0.0077,-0.0191,0.0543,,,288,0.0577,270,0.0596,434,0.0470,260,0.0608,131,0.0856,326,0.0543,300,0.0566,439,0.0468,627,0.0391,625,0.0392,us,Twitch,Daily Users
2019-03-04,0.1085,,0.0155,,0.0091,,0.0095,,0.1131,,0.0568,,0.0035,,0.0088,,0.0203,,0.0420,,,284,0.0582,333,0.0537,499,0.0439,295,0.0571,126,0.0873,372,0.0508,325,0.0544,524,0.0428,735,0.0361,676,0.0377,us,Twitch,Daily Users
2019-03-11,0.0999,,0.0325,,0.0165,,0.0000,,0.1883,,0.0402,,0.0154,,0.0091,,0.0280,,0.0418,,,243,0.0629,284,0.0582,424,0.0476,221,0.0659,102,0.0970,321,0.0547,306,0.0560,391,0.0496,614,0.0395,557,0.0415,us,Twitch,Daily Users
2019-03-18,0.1226,,0.0109,,0.0130,,0.0022,,0.1447,,0.0447,,0.0095,,0.0119,,0.0111,,0.0551,,,243,0.0629,253,0.0616,376,0.0505,234,0.0641,127,0.0870,279,0.0587,255,0.0614,387,0.0498,524,0.0428,582,0.0406,us,Twitch,Daily Users
2019-03-25,0.1175,,0.0599,0.0490,0.0000,,0.0069,,0.1706,,0.0702,,0.0187,,0.0000,,0.0142,,0.0787,,,247,0.0624,230,0.0646,343,0.0529,212,0.0673,113,0.0922,266,0.0601,254,0.0615,352,0.0522,574,0.0409,458,0.0458,us,Twitch,Daily Users
2019-04-01,0.0940,,0.0192,-0.0407,0.0216,0.0216,0.0037,,0.1173,,0.0494,,0.0305,,0.0022,,0.0089,,0.0593,,,248,0.0622,236,0.0638,370,0.0509,248,0.0622,109,0.0939,283,0.0583,270,0.0596,396,0.0492,568,0.0411,534,0.0424,us,Twitch,Daily Users
