Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2020-10-12,0.1228,,0.1335,,0.0206,,0.0000,,0.0490,,0.1140,,0.1104,,0.0057,,0.0423,,0.0997,,,60,0.1265,97,0.0995,102,0.0970,65,0.1216,33,0.1706,97,0.0995,83,0.1076,90,0.1033,173,0.0745,151,0.0798,us,Roblox,Daily Users
2020-10-19,0.1226,,0.0846,,0.0261,,0.0038,,0.1723,,0.0710,,0.0555,,0.0104,,0.0375,,0.0741,,,289,0.0576,363,0.0514,514,0.0432,297,0.0569,167,0.0758,365,0.0513,374,0.0507,498,0.0439,758,0.0356,704,0.0369,us,Roblox,Daily Users
2020-10-26,0.1432,,0.0605,,0.0295,,0.0000,,0.1883,,0.0569,,0.0638,,0.0027,,0.0481,,0.0688,,,326,0.0543,369,0.0510,488,0.0444,268,0.0599,200,0.0693,380,0.0503,361,0.0516,461,0.0456,791,0.0348,659,0.0382,us,Roblox,Daily Users
2020-11-02,0.0585,-0.0847,0.0589,,0.0255,,0.0000,,0.0433,-0.1450,0.0758,,0.0309,,0.0067,,0.0304,,0.0436,,,207,0.0681,289,0.0576,333,0.0537,208,0.0680,86,0.1057,318,0.0550,243,0.0629,339,0.0532,575,0.0409,462,0.0456,us,Roblox,Daily Users
2020-11-09,0.0663,,0.0862,,0.0143,,0.0129,,0.1033,,0.0654,,0.0430,,0.0020,,0.0316,,0.0532,,,259,0.0609,357,0.0519,496,0.0440,276,0.0590,139,0.0831,363,0.0514,374,0.0507,439,0.0468,707,0.0369,681,0.0376,us,Roblox,Daily Users
2020-11-16,0.1353,0.0690,0.0518,,0.0125,,0.0136,,0.1654,,0.0670,,0.0359,,0.0053,,0.0428,,0.0553,,,264,0.0603,307,0.0559,410,0.0484,250,0.0620,138,0.0834,344,0.0528,305,0.0561,390,0.0496,632,0.0390,600,0.0400,us,Roblox,Daily Users
2020-11-23,0.1158,,0.0639,,0.0181,,0.0037,,0.1747,,0.0617,,0.0286,,0.0093,,0.0328,,0.0624,,,272,0.0594,333,0.0537,447,0.0464,249,0.0621,144,0.0817,365,0.0513,335,0.0535,404,0.0488,652,0.0384,650,0.0384,us,Roblox,Daily Users
2020-11-30,0.1040,,0.0779,,0.0136,,0.0000,,0.1371,,0.0666,,0.0542,,0.0000,,0.0419,,0.0521,,,264,0.0603,348,0.0525,412,0.0483,264,0.0603,141,0.0825,354,0.0521,318,0.0550,409,0.0485,683,0.0375,605,0.0398,us,Roblox,Daily Users
2020-12-07,0.1295,,0.0789,,0.0215,,0.0000,,0.1536,,0.0986,,0.0404,,0.0000,,0.0557,,0.0521,,,232,0.0643,312,0.0555,396,0.0492,230,0.0646,108,0.0943,354,0.0521,290,0.0575,362,0.0515,614,0.0395,556,0.0416,us,Roblox,Daily Users
2020-12-14,0.1447,,0.0666,,0.0088,,0.0062,,0.1697,,0.0806,,0.0287,,0.0040,,0.0451,,0.0543,,,237,0.0637,316,0.0551,437,0.0469,233,0.0642,126,0.0873,342,0.0530,299,0.0567,397,0.0492,638,0.0388,586,0.0405,us,Roblox,Daily Users
2020-12-21,0.1016,,0.0873,,0.0167,,0.0000,,0.1318,,0.0845,,0.0387,,0.0042,,0.0461,,0.0479,,,258,0.0610,337,0.0534,486,0.0445,276,0.0590,150,0.0800,334,0.0536,358,0.0518,462,0.0456,704,0.0369,653,0.0384,us,Roblox,Daily Users
2020-12-28,0.1151,,0.0870,,0.0054,,0.0000,,0.1446,,0.0815,,0.0359,,0.0014,,0.0290,,0.0654,,,268,0.0599,376,0.0505,463,0.0455,299,0.0567,150,0.0800,384,0.0500,348,0.0525,474,0.0450,713,0.0367,694,0.0372,us,Roblox,Daily Users
2021-01-04,0.1578,,0.0591,,0.0124,,0.0000,,0.1895,,0.0760,,0.0278,,0.0016,,0.0486,,0.0545,,,295,0.0571,333,0.0537,471,0.0452,298,0.0568,184,0.0722,345,0.0528,370,0.0509,437,0.0469,690,0.0373,708,0.0368,us,Roblox,Daily Users
2021-01-11,0.1219,,0.0792,,0.0272,,0.0000,,0.1322,,0.0898,,0.0392,,0.0088,,0.0427,,0.0686,,,307,0.0559,316,0.0551,494,0.0441,256,0.0612,218,0.0664,329,0.0540,345,0.0528,445,0.0465,707,0.0369,665,0.0380,us,Roblox,Daily Users
2021-01-18,0.1015,,0.0784,,0.0305,,0.0091,,0.1281,,0.0817,,0.0458,,0.0072,,0.0454,,0.0646,,,266,0.0601,327,0.0542,427,0.0474,231,0.0645,172,0.0747,348,0.0525,300,0.0566,383,0.0501,680,0.0376,571,0.0410,us,Roblox,Daily Users
2021-01-25,0.1380,,0.0760,,0.0168,,0.0000,,0.1580,,0.0951,,0.0129,-0.0329,0.0154,,0.0394,,0.0708,,,284,0.0582,358,0.0518,481,0.0447,237,0.0637,172,0.0747,383,0.0501,352,0.0522,412,0.0483,696,0.0371,665,0.0380,us,Roblox,Daily Users
2021-02-01,0.1158,,0.0576,,0.0122,,0.0000,,0.1482,,0.0665,,0.0167,,0.0048,,0.0257,,0.0682,,,287,0.0578,313,0.0554,410,0.0484,242,0.0630,184,0.0722,331,0.0539,309,0.0558,383,0.0501,685,0.0374,567,0.0412,us,Roblox,Daily Users
2021-02-08,0.1073,,0.0602,,0.0006,,0.0000,,0.1111,,0.0756,,0.0132,,0.0000,,0.0215,,0.0492,,,212,0.0673,341,0.0531,443,0.0466,273,0.0593,138,0.0834,313,0.0554,344,0.0528,417,0.0480,683,0.0375,586,0.0405,us,Roblox,Daily Users
2021-02-15,0.1465,,0.0753,,0.0204,0.0197,0.0102,,0.1503,,0.0982,,0.0374,,0.0082,,0.0519,0.0304,0.0643,,,238,0.0635,372,0.0508,439,0.0468,236,0.0638,135,0.0843,393,0.0494,324,0.0544,382,0.0501,676,0.0377,608,0.0397,us,Roblox,Daily Users
2021-02-22,0.1687,,0.0584,,0.0230,,0.0020,,0.2004,,0.0847,,0.0183,,0.0166,,0.0514,,0.0670,,,259,0.0609,317,0.0550,436,0.0469,226,0.0652,152,0.0795,358,0.0518,310,0.0557,373,0.0507,657,0.0382,581,0.0407,us,Roblox,Daily Users
2021-03-01,0.0757,-0.0930,0.0910,,0.0109,,0.0027,,0.0767,-0.1236,0.0950,,0.0262,,0.0016,,0.0284,,0.0551,,,188,0.0715,313,0.0554,404,0.0488,240,0.0633,115,0.0914,328,0.0541,273,0.0593,397,0.0492,572,0.0410,573,0.0409,us,Roblox,Daily Users
2021-03-08,0.1522,0.0764,0.0746,,0.0136,,0.0035,,0.1893,0.1125,0.0867,,0.0250,,0.0050,,0.0509,,0.0582,,,203,0.0688,335,0.0535,372,0.0508,221,0.0659,126,0.0873,336,0.0535,281,0.0585,351,0.0523,566,0.0412,566,0.0412,us,Roblox,Daily Users
