Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-04-02,0.4699,,0.5492,,0.4909,,0.4403,,0.3756,,0.5333,,0.5254,,0.4680,,0.5416,,0.4364,,,6456,0.0122,7492,0.0113,10342,0.0096,6008,0.0126,2258,0.0206,8441,0.0107,7746,0.0111,10223,0.0097,15675,0.0078,14623,0.0081,us,Facebook,Daily Users
2018-04-09,0.4868,,0.5395,,0.5016,,0.4492,,0.4172,0.0416,0.5303,,0.5296,,0.4793,,0.5501,,0.4413,,,6611,0.0121,7884,0.0110,10747,0.0095,6244,0.0124,2131,0.0212,8999,0.0103,8249,0.0108,10441,0.0096,16289,0.0077,15196,0.0079,us,Facebook,Daily Users
2018-04-16,0.4902,,0.5510,,0.5041,,0.4625,,0.4078,,0.5414,,0.5369,,0.4785,,0.5626,,0.4396,,,3641,0.0162,4460,0.0147,5909,0.0127,3532,0.0165,1194,0.0284,5005,0.0139,4534,0.0146,5853,0.0128,9297,0.0102,8246,0.0108,us,Facebook,Daily Users
2018-04-23,0.5026,,0.5813,0.0303,0.5421,0.0381,0.4871,0.0246,0.4102,,0.5659,0.0245,0.5670,0.0301,0.5138,0.0353,0.5996,0.0370,0.4629,0.0233,,5580,0.0131,6667,0.0120,8884,0.0104,4972,0.0139,1822,0.0230,7617,0.0112,6561,0.0121,8710,0.0105,13427,0.0085,12677,0.0087,us,Facebook,Daily Users
2018-04-30,0.5120,,0.5742,,0.5292,,0.4858,,0.4362,,0.5516,,0.5751,,0.5089,,0.5808,-0.0188,0.4638,,,2108,0.0213,2575,0.0193,3727,0.0161,2151,0.0211,707,0.0369,2852,0.0184,2670,0.0190,3724,0.0161,5785,0.0129,4776,0.0142,us,Facebook,Daily Users
2018-05-07,0.4855,,0.5770,,0.5385,,0.4929,,0.3634,,0.5821,,0.5641,,0.5074,,0.5912,,0.4659,,,268,0.0599,324,0.0544,481,0.0447,233,0.0642,98,0.0990,379,0.0503,328,0.0541,433,0.0471,659,0.0382,648,0.0385,us,Facebook,Daily Users
2018-05-14,0.4615,,0.5775,,0.5784,,0.3972,-0.0957,0.4266,,0.5503,,0.5624,,0.5194,,0.5720,,0.4604,,,266,0.0601,335,0.0535,466,0.0454,260,0.0608,100,0.0980,365,0.0513,342,0.0530,449,0.0462,700,0.0370,627,0.0391,us,Facebook,Daily Users
2018-05-21,0.4510,,0.5887,,0.5467,,0.5291,0.1319,0.3252,,0.5616,,0.5455,,0.5437,,0.5788,,0.4814,,,287,0.0578,352,0.0522,489,0.0443,280,0.0586,104,0.0961,382,0.0501,363,0.0514,468,0.0453,763,0.0355,645,0.0386,us,Facebook,Daily Users
2018-05-28,0.6004,0.1493,0.5828,,0.5789,,0.4538,,0.5091,0.1840,0.6142,,0.6035,,0.5178,,0.6091,,0.5041,,,240,0.0633,326,0.0543,503,0.0437,267,0.0600,85,0.1063,362,0.0515,352,0.0522,459,0.0457,693,0.0372,642,0.0387,us,Facebook,Daily Users
2018-06-04,0.4918,-0.1086,0.5904,,0.5568,,0.5078,,0.4002,,0.5719,,0.5688,,0.5390,,0.5984,,0.4790,,,2214,0.0208,2569,0.0193,3522,0.0165,2008,0.0219,757,0.0356,2915,0.0182,2575,0.0193,3518,0.0165,5410,0.0133,4904,0.0140,us,Facebook,Daily Users
2018-06-11,0.4556,,0.6043,,0.5484,,0.5127,,0.3746,,0.5654,,0.5714,,0.5214,,0.6119,,0.4612,,,246,0.0625,340,0.0531,487,0.0444,270,0.0596,76,0.1124,375,0.0506,338,0.0533,482,0.0446,688,0.0374,655,0.0383,us,Facebook,Daily Users
2018-06-18,0.4680,,0.5434,,0.5804,,0.5445,,0.4403,,0.5354,,0.5409,,0.5715,,0.5998,,0.4818,,,271,0.0595,290,0.0575,459,0.0457,270,0.0596,116,0.0910,345,0.0528,317,0.0550,448,0.0463,647,0.0385,644,0.0386,us,Facebook,Daily Users
2018-06-25,0.4074,,0.5473,,0.5661,,0.4486,-0.0958,0.2915,-0.1487,0.5157,,0.5649,,0.5147,,0.5895,,0.4187,-0.0631,,285,0.0581,324,0.0544,445,0.0465,254,0.0615,101,0.0975,378,0.0504,335,0.0535,441,0.0467,654,0.0383,655,0.0383,us,Facebook,Daily Users
