Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-04-09,0.3538,,0.1258,,0.0611,,0.0051,,0.4327,,0.2213,,0.1137,,0.0210,,0.1233,,0.1321,,,293,0.0573,278,0.0588,428,0.0474,302,0.0564,102,0.0970,347,0.0526,313,0.0554,458,0.0458,633,0.0390,667,0.0379,us,Snapchat,Daily Users
2018-04-16,0.3512,,0.1764,,0.0610,,0.0089,,0.4660,,0.2606,,0.0957,,0.0214,,0.1436,,0.1288,,,251,0.0619,318,0.0550,445,0.0465,260,0.0608,94,0.1011,347,0.0526,314,0.0553,443,0.0466,659,0.0382,614,0.0395,us,Snapchat,Daily Users
2018-04-23,0.4182,,0.1769,,0.0592,,0.0105,,0.4298,,0.3116,,0.1092,,0.0280,,0.1543,,0.1376,,,244,0.0627,307,0.0559,445,0.0465,276,0.0590,70,0.1171,341,0.0531,338,0.0533,448,0.0463,645,0.0386,628,0.0391,us,Snapchat,Daily Users
2018-04-30,0.4466,,0.1333,,0.0465,,0.0179,,0.5393,,0.2871,,0.0808,,0.0273,,0.1518,,0.1530,,,303,0.0563,326,0.0543,448,0.0463,263,0.0604,92,0.1022,405,0.0487,303,0.0563,469,0.0453,707,0.0369,633,0.0390,us,Snapchat,Daily Users
2018-05-07,0.3705,,0.1752,,0.0671,,0.0071,,0.4390,,0.2586,,0.1310,,0.0227,,0.1535,,0.1406,,,285,0.0581,329,0.0540,465,0.0454,255,0.0614,116,0.0910,349,0.0525,341,0.0531,461,0.0456,681,0.0376,653,0.0384,us,Snapchat,Daily Users
2018-05-14,0.3906,,0.1799,,0.0672,,0.0087,,0.4439,,0.2927,,0.1009,,0.0263,,0.1223,,0.1852,0.0446,,303,0.0563,323,0.0545,443,0.0466,291,0.0574,133,0.0850,348,0.0525,328,0.0541,470,0.0452,687,0.0374,672,0.0378,us,Snapchat,Daily Users
2018-05-21,0.3745,,0.1571,,0.0430,,0.0036,,0.4261,,0.2902,,0.0667,,0.0101,,0.1518,,0.1171,-0.0681,,308,0.0558,353,0.0522,456,0.0459,302,0.0564,107,0.0947,410,0.0484,330,0.0539,490,0.0443,729,0.0363,690,0.0373,us,Snapchat,Daily Users
2018-05-28,0.4318,,0.1743,,0.0416,,0.0091,,0.5673,,0.2671,,0.1014,,0.0175,,0.1598,,0.1446,,,287,0.0578,378,0.0504,441,0.0467,275,0.0591,93,0.1016,426,0.0475,341,0.0531,431,0.0472,717,0.0366,664,0.0380,us,Snapchat,Daily Users
2018-06-04,0.3220,-0.1098,0.1485,,0.0551,,0.0018,,0.4304,,0.2386,,0.0798,,0.0154,,0.1354,,0.1114,,,266,0.0601,331,0.0539,446,0.0464,249,0.0621,90,0.1033,363,0.0514,353,0.0522,408,0.0485,661,0.0381,630,0.0390,us,Snapchat,Daily Users
2018-06-11,0.3724,,0.1338,,0.0467,,0.0052,,0.5013,,0.2176,,0.0982,,0.0078,,0.1096,,0.1380,,,248,0.0622,333,0.0537,443,0.0466,262,0.0605,81,0.1089,371,0.0509,341,0.0531,415,0.0481,657,0.0382,629,0.0391,us,Snapchat,Daily Users
2018-06-18,0.3146,,0.1458,,0.0539,,0.0077,,0.4052,,0.1987,,0.0999,,0.0262,,0.1580,0.0484,0.0807,-0.0573,,266,0.0601,304,0.0562,447,0.0464,275,0.0591,111,0.0930,317,0.0550,346,0.0527,451,0.0461,646,0.0386,645,0.0386,us,Snapchat,Daily Users
