Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-03-26,0.1981,,0.1978,,0.0934,,0.0219,-0.0555,0.1922,,0.2150,,0.1155,,0.0675,,0.0306,,0.1030,,0.1447,,,239,0.0634,278,0.0588,442,0.0466,256,0.0612,65,0.1216,331,0.0539,317,0.0550,427,0.0474,203,0.0688,637,0.0388,577,0.0408,us,Twitter,Daily Users
2018-04-02,0.1903,,0.1095,-0.0883,0.0712,,0.0722,0.0504,0.1968,,0.1501,-0.0650,0.0920,,0.0698,,0.0780,,0.0883,,0.1234,,,253,0.0616,301,0.0565,494,0.0441,240,0.0633,101,0.0975,305,0.0561,355,0.0520,459,0.0457,199,0.0695,723,0.0364,566,0.0412,us,Twitter,Daily Users
2018-04-09,0.2134,,0.1751,0.0656,0.0843,,0.0585,,0.3765,0.1798,0.1452,,0.1574,0.0654,0.0657,,0.0672,,0.1114,,0.1510,,,282,0.0584,335,0.0535,437,0.0469,259,0.0609,88,0.1045,389,0.0497,315,0.0552,444,0.0465,203,0.0688,692,0.0373,621,0.0393,us,Twitter,Daily Users
2018-04-16,0.2443,,0.1428,,0.1306,0.0462,0.0393,,0.2650,,0.1857,,0.1687,,0.0683,,0.0586,,0.1122,,0.1634,,,270,0.0596,306,0.0560,406,0.0486,275,0.0591,87,0.1051,360,0.0517,315,0.0552,420,0.0478,222,0.0658,622,0.0393,635,0.0389,us,Twitter,Daily Users
2018-04-23,0.2579,,0.1289,,0.0965,,0.0530,,0.3190,,0.1664,,0.1407,,0.0606,,0.0535,,0.1093,,0.1444,,,250,0.0620,347,0.0526,437,0.0469,290,0.0575,89,0.1039,351,0.0523,348,0.0525,456,0.0459,229,0.0648,696,0.0371,628,0.0391,us,Twitter,Daily Users
2018-04-30,0.1982,,0.1862,,0.1078,,0.0325,,0.2643,,0.1928,,0.1299,,0.0728,,0.0304,,0.1228,,0.1373,,,278,0.0588,325,0.0544,462,0.0456,275,0.0591,80,0.1096,387,0.0498,316,0.0551,486,0.0445,225,0.0653,663,0.0381,677,0.0377,us,Twitter,Daily Users
2018-05-07,0.1857,,0.1368,,0.1119,,0.0170,,0.2667,,0.1296,-0.0632,0.1544,,0.0590,,0.0269,,0.0992,,0.1332,,,262,0.0605,338,0.0533,439,0.0468,240,0.0633,89,0.1039,358,0.0518,335,0.0535,439,0.0468,198,0.0696,656,0.0383,624,0.0392,us,Twitter,Daily Users
2018-05-14,0.2175,,0.1286,,0.1096,,0.0688,0.0518,0.2525,,0.1485,,0.1289,,0.0961,0.0371,0.0721,,0.0981,,0.1573,,,274,0.0592,379,0.0503,502,0.0437,263,0.0604,95,0.1005,377,0.0505,411,0.0483,475,0.0450,228,0.0649,701,0.0370,717,0.0366,us,Twitter,Daily Users
2018-05-21,0.2119,,0.1334,,0.1180,,0.0527,,0.2889,,0.1609,,0.1559,,0.0768,,0.0693,,0.1001,,0.1565,,,302,0.0564,341,0.0531,489,0.0443,304,0.0562,70,0.1171,432,0.0472,348,0.0525,496,0.0440,233,0.0642,735,0.0361,701,0.0370,us,Twitter,Daily Users
2018-05-28,0.2321,,0.1267,,0.1105,,0.0542,,0.2687,,0.1793,,0.1225,,0.0794,,0.0584,,0.1032,,0.1592,,,292,0.0574,328,0.0541,471,0.0452,245,0.0626,96,0.1000,388,0.0498,342,0.0530,445,0.0465,202,0.0690,680,0.0376,656,0.0383,us,Twitter,Daily Users
2018-06-04,0.2176,,0.1312,,0.1119,,0.0247,,0.2583,,0.1504,,0.1369,,0.0762,,0.0334,,0.1024,,0.1487,,,266,0.0601,304,0.0562,465,0.0454,218,0.0664,99,0.0985,334,0.0536,339,0.0532,428,0.0474,194,0.0704,673,0.0378,581,0.0407,us,Twitter,Daily Users
2018-06-11,0.1954,,0.1546,,0.1130,,0.0638,,0.2088,,0.1646,,0.1313,,0.0970,,0.0653,,0.1147,,0.1500,,,280,0.0586,336,0.0535,452,0.0461,257,0.0611,105,0.0956,359,0.0517,334,0.0536,465,0.0454,215,0.0668,700,0.0370,624,0.0392,us,Twitter,Daily Users
2018-06-18,0.1835,,0.1918,,0.0914,,0.0834,,0.1973,,0.2049,,0.1391,,0.0711,,0.0894,,0.1323,,0.1401,,,312,0.0555,343,0.0529,446,0.0464,261,0.0607,119,0.0898,389,0.0497,336,0.0535,457,0.0458,214,0.0670,684,0.0375,679,0.0376,us,Twitter,Daily Users
2018-06-25,0.2561,0.0726,0.1363,,0.1404,0.0490,0.0827,,0.3325,0.1352,0.1675,,0.1633,,0.1150,0.0439,0.1135,,0.1454,,0.1584,,,260,0.0608,336,0.0535,467,0.0453,243,0.0629,96,0.1000,345,0.0528,347,0.0526,449,0.0462,198,0.0696,680,0.0376,626,0.0392,us,Twitter,Daily Users
