Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2019-03-25,0.2764,,0.1294,,0.1063,,0.0510,,0.3387,,0.1913,,0.1208,,0.0649,,0.0587,,0.1023,,0.1734,,,212,0.0673,264,0.0603,388,0.0498,213,0.0671,89,0.1039,279,0.0587,308,0.0558,350,0.0524,162,0.0770,590,0.0403,487,0.0444,us,Twitter,Daily Users
2019-04-01,0.2687,,0.1490,,0.1283,,0.0669,,0.3305,,0.1709,,0.1393,,0.1000,,0.0795,,0.1390,,0.1566,,,206,0.0683,273,0.0593,363,0.0514,229,0.0648,109,0.0939,275,0.0591,254,0.0615,383,0.0501,180,0.0730,556,0.0416,514,0.0432,us,Twitter,Daily Users
2019-04-08,0.2430,,0.1730,,0.0919,,0.0524,,0.2634,,0.1879,,0.1432,,0.0667,,0.0627,,0.1183,,0.1466,,,209,0.0678,253,0.0616,388,0.0498,221,0.0659,96,0.1000,261,0.0607,292,0.0574,360,0.0517,160,0.0775,537,0.0423,533,0.0424,us,Twitter,Daily Users
2019-04-15,0.2390,,0.1511,,0.0794,,0.0604,,0.2711,,0.1632,,0.1238,,0.0686,,0.0642,,0.0923,,0.1615,,,228,0.0649,268,0.0599,376,0.0505,234,0.0641,107,0.0947,290,0.0575,273,0.0593,379,0.0503,177,0.0737,573,0.0409,532,0.0425,us,Twitter,Daily Users
2019-04-22,0.2479,,0.1632,,0.1154,0.0360,0.0689,,0.3057,,0.1758,,0.1507,,0.0798,,0.0653,,0.1142,,0.1815,,,1897,0.0225,2052,0.0216,2885,0.0182,1691,0.0238,881,0.0330,2292,0.0205,2173,0.0210,2812,0.0185,1324,0.0269,4355,0.0149,4169,0.0152,us,Twitter,Daily Users
2019-04-29,0.2153,,0.1399,,0.1073,,0.0720,,0.2713,,0.1490,,0.1389,,0.0766,,0.0753,,0.1159,,0.1460,-0.0355,,743,0.0360,886,0.0329,1345,0.0267,699,0.0371,366,0.0512,923,0.0323,988,0.0312,1231,0.0279,535,0.0424,1919,0.0224,1754,0.0234,us,Twitter,Daily Users
2019-05-06,0.2214,,0.1877,,0.1199,,0.0678,,0.2225,,0.1788,,0.1855,,0.0794,,0.0524,,0.1293,,0.1687,,,261,0.0607,303,0.0563,463,0.0455,215,0.0668,118,0.0902,327,0.0542,328,0.0541,427,0.0474,171,0.0749,628,0.0391,614,0.0395,us,Twitter,Daily Users
2019-05-13,0.2431,,0.1505,,0.1287,,0.0670,,0.3614,0.1389,0.1789,,0.1194,-0.0661,0.0897,,0.0669,,0.1011,,0.1941,,,273,0.0593,290,0.0575,384,0.0500,237,0.0637,119,0.0898,324,0.0544,304,0.0562,384,0.0500,184,0.0722,586,0.0405,598,0.0401,us,Twitter,Daily Users
2019-05-20,0.2001,,0.1365,,0.1053,,0.0696,,0.2280,-0.1334,0.1482,,0.1390,,0.0744,,0.0714,,0.1060,,0.1526,,,304,0.0562,324,0.0544,438,0.0468,253,0.0616,155,0.0787,362,0.0515,321,0.0547,409,0.0485,181,0.0728,696,0.0371,623,0.0393,us,Twitter,Daily Users
2019-05-27,0.2019,,0.1510,,0.1218,,0.0478,,0.3280,,0.1272,,0.1570,,0.0748,,0.0599,,0.0959,,0.1686,,,305,0.0561,375,0.0506,460,0.0457,261,0.0607,137,0.0837,389,0.0497,375,0.0506,448,0.0463,209,0.0678,681,0.0376,720,0.0365,us,Twitter,Daily Users
2019-06-03,0.2095,,0.1569,,0.1016,,0.0467,,0.2377,,0.1682,,0.1325,,0.0757,,0.0513,,0.0899,,0.1653,,,308,0.0558,368,0.0511,471,0.0452,282,0.0584,129,0.0863,391,0.0496,364,0.0514,491,0.0442,229,0.0648,702,0.0370,727,0.0363,us,Twitter,Daily Users
2019-06-10,0.2672,,0.1858,,0.1287,,0.0487,,0.3034,,0.1893,,0.2036,0.0711,0.0838,,0.0612,,0.1443,0.0544,0.1743,,,318,0.0550,315,0.0552,494,0.0441,261,0.0607,128,0.0866,382,0.0501,331,0.0539,494,0.0441,208,0.0680,736,0.0361,652,0.0384,us,Twitter,Daily Users
2019-06-17,0.2282,,0.1711,,0.1173,,0.0461,,0.3081,,0.1731,,0.1226,-0.0810,0.0840,,0.0455,,0.1301,,0.1577,,,341,0.0531,320,0.0548,462,0.0456,270,0.0596,168,0.0756,379,0.0503,334,0.0536,452,0.0461,211,0.0675,741,0.0360,653,0.0384,us,Twitter,Daily Users
2019-06-24,0.2421,,0.1714,,0.0777,,0.0955,0.0495,0.2605,,0.1806,,0.1368,,0.0776,,0.1020,0.0564,0.1284,,0.1497,,,269,0.0598,278,0.0588,435,0.0470,243,0.0629,138,0.0834,316,0.0551,293,0.0573,426,0.0475,191,0.0709,635,0.0389,590,0.0403,us,Twitter,Daily Users
2019-07-01,0.1721,,0.1437,,0.1586,0.0809,0.0573,,0.1902,,0.1381,,0.1849,,0.0933,,0.0622,,0.1034,,0.1703,,,277,0.0589,319,0.0549,435,0.0470,295,0.0571,142,0.0822,346,0.0527,329,0.0540,437,0.0469,223,0.0656,693,0.0372,633,0.0390,us,Twitter,Daily Users
2019-07-08,0.2260,,0.1488,,0.1077,-0.0509,0.0949,,0.2306,,0.1688,,0.1223,-0.0627,0.1071,,0.0881,,0.1215,,0.1564,,,265,0.0602,310,0.0557,479,0.0448,272,0.0594,127,0.0870,336,0.0535,301,0.0565,487,0.0444,197,0.0698,686,0.0374,640,0.0387,us,Twitter,Daily Users
2019-07-15,0.2390,,0.1636,,0.1310,,0.0525,,0.3056,,0.1647,,0.1702,,0.0755,,0.0615,,0.1199,,0.1781,,,354,0.0521,353,0.0522,500,0.0438,285,0.0581,177,0.0737,401,0.0489,391,0.0496,471,0.0452,233,0.0642,737,0.0361,755,0.0357,us,Twitter,Daily Users
2019-07-22,0.2402,,0.1720,,0.1180,,0.0695,,0.3370,,0.1593,,0.1649,,0.0894,,0.0799,,0.1092,,0.1929,,,313,0.0554,374,0.0507,451,0.0461,267,0.0600,141,0.0825,390,0.0496,356,0.0519,457,0.0458,205,0.0684,714,0.0367,690,0.0373,us,Twitter,Daily Users
2019-07-29,0.1988,,0.1627,,0.1273,,0.0656,,0.2054,-0.1316,0.1785,,0.1506,,0.0887,,0.0629,,0.1063,,0.1700,,,291,0.0574,334,0.0536,492,0.0442,315,0.0552,124,0.0880,367,0.0512,357,0.0519,509,0.0434,240,0.0633,752,0.0357,680,0.0376,us,Twitter,Daily Users
2019-08-05,0.2365,,0.1588,,0.1271,,0.0697,,0.2658,,0.2085,,0.1167,,0.0984,,0.0740,,0.1357,,0.1563,,,277,0.0589,363,0.0514,469,0.0453,281,0.0585,142,0.0822,341,0.0531,382,0.0501,459,0.0457,216,0.0667,725,0.0364,665,0.0380,us,Twitter,Daily Users
2019-08-12,0.1772,,0.1751,,0.0978,,0.0859,,0.2122,,0.1569,,0.1291,,0.1010,,0.0971,,0.0935,-0.0422,0.1700,,,274,0.0592,341,0.0531,465,0.0454,258,0.0610,125,0.0877,364,0.0514,347,0.0526,445,0.0465,200,0.0693,673,0.0378,666,0.0380,us,Twitter,Daily Users
2019-08-19,0.2558,0.0786,0.1416,,0.1483,0.0505,0.0649,,0.2760,,0.1846,,0.1761,,0.0852,,0.0672,,0.1256,,0.1772,,,277,0.0589,337,0.0534,459,0.0457,300,0.0566,119,0.0898,370,0.0509,346,0.0527,472,0.0451,234,0.0641,720,0.0365,652,0.0384,us,Twitter,Daily Users
2019-08-26,0.2365,,0.1894,,0.1251,,0.0784,,0.3006,,0.1943,,0.1578,,0.0924,,0.0854,,0.1293,,0.1850,,,666,0.0380,715,0.0366,986,0.0312,591,0.0403,277,0.0589,878,0.0331,720,0.0365,949,0.0318,457,0.0458,1522,0.0251,1436,0.0259,us,Twitter,Daily Users
2019-09-02,0.2334,,0.1818,,0.1275,,0.0610,,0.2662,,0.1960,,0.1588,,0.0886,,0.0633,,0.1081,-0.0212,0.1892,,,1143,0.0290,1492,0.0254,2004,0.0219,1221,0.0280,455,0.0459,1641,0.0242,1436,0.0259,2064,0.0216,958,0.0317,2970,0.0180,2890,0.0182,us,Twitter,Daily Users
2019-09-09,0.2535,,0.1925,,0.1177,,0.0833,,0.2596,,0.2209,,0.1908,,0.0751,,0.0863,,0.1319,,0.1873,,,248,0.0622,350,0.0524,412,0.0483,240,0.0633,94,0.1011,380,0.0503,279,0.0587,447,0.0464,190,0.0711,639,0.0388,612,0.0396,us,Twitter,Daily Users
2019-09-16,0.2768,,0.1662,,0.1042,,0.0881,,0.3065,,0.1874,,0.1529,,0.0847,,0.0775,,0.1277,,0.1799,,,279,0.0587,333,0.0537,458,0.0458,252,0.0617,122,0.0887,367,0.0512,345,0.0528,420,0.0478,185,0.0721,676,0.0377,646,0.0386,us,Twitter,Daily Users
2019-09-23,0.2284,,0.1517,,0.0923,,0.1071,,0.2179,,0.1954,,0.1230,,0.0768,,0.0912,,0.1107,,0.1668,,,258,0.0610,361,0.0516,444,0.0465,250,0.0620,109,0.0939,380,0.0503,330,0.0539,425,0.0475,181,0.0728,670,0.0379,644,0.0386,us,Twitter,Daily Users
2019-09-30,0.2412,,0.1755,,0.0891,,0.0468,-0.0603,0.2664,,0.2051,,0.1235,,0.0654,,0.0507,,0.0777,,0.1830,,,259,0.0609,312,0.0555,439,0.0468,283,0.0583,104,0.0961,343,0.0529,314,0.0553,469,0.0453,220,0.0661,637,0.0388,656,0.0383,us,Twitter,Daily Users
2019-10-07,0.2533,,0.2044,,0.0674,,0.0759,,0.3308,,0.2118,,0.1111,,0.0727,,0.0820,,0.1136,0.0359,0.1740,,,245,0.0626,344,0.0528,438,0.0468,245,0.0626,102,0.0970,360,0.0517,336,0.0535,427,0.0474,196,0.0700,675,0.0377,598,0.0401,us,Twitter,Daily Users
2019-10-14,0.2256,,0.2018,,0.1321,0.0646,0.0692,,0.2844,,0.2010,,0.1437,,0.1089,,0.0672,,0.1247,,0.1922,,,264,0.0603,333,0.0537,433,0.0471,246,0.0625,106,0.0952,377,0.0505,304,0.0562,430,0.0473,188,0.0715,655,0.0383,621,0.0393,us,Twitter,Daily Users
2019-10-21,0.2365,,0.1339,-0.0680,0.1046,,0.0466,,0.3061,,0.1724,,0.1089,,0.0734,,0.0550,,0.1224,,0.1402,-0.0519,,262,0.0605,321,0.0547,372,0.0508,229,0.0648,108,0.0943,350,0.0524,302,0.0564,366,0.0512,171,0.0749,646,0.0386,537,0.0423,us,Twitter,Daily Users
2019-10-28,0.2201,,0.1355,,0.1442,,0.0807,,0.2777,,0.1584,,0.1803,0.0714,0.0871,,0.0714,,0.1064,,0.1952,0.0550,,271,0.0595,277,0.0589,493,0.0441,229,0.0648,97,0.0995,340,0.0531,345,0.0528,440,0.0467,180,0.0730,688,0.0374,582,0.0406,us,Twitter,Daily Users
2019-11-04,0.2433,,0.1661,,0.1088,,0.0479,,0.3450,,0.1565,,0.1831,,0.0458,-0.0413,0.0357,,0.1172,,0.1624,,,296,0.0570,325,0.0544,474,0.0450,264,0.0603,126,0.0873,362,0.0515,347,0.0526,467,0.0453,207,0.0681,674,0.0377,685,0.0374,us,Twitter,Daily Users
2019-11-11,0.2060,,0.2005,,0.1104,,0.0848,,0.2602,,0.1786,,0.1518,,0.0911,0.0453,0.0709,,0.1069,,0.1862,,,261,0.0607,384,0.0500,498,0.0439,296,0.0570,125,0.0877,384,0.0500,369,0.0510,486,0.0445,222,0.0658,720,0.0365,719,0.0365,us,Twitter,Daily Users
2019-11-18,0.2361,,0.1796,,0.1265,,0.0644,,0.2245,,0.2164,,0.1701,,0.0658,,0.0611,,0.0965,,0.2006,,,253,0.0616,319,0.0549,401,0.0489,280,0.0586,122,0.0887,335,0.0535,315,0.0552,416,0.0480,216,0.0667,630,0.0390,623,0.0393,us,Twitter,Daily Users
2019-11-25,0.2145,,0.1453,,0.1003,,0.0548,,0.2317,,0.1581,,0.1339,,0.0731,,0.0433,,0.1004,,0.1613,,,329,0.0540,321,0.0547,441,0.0467,252,0.0617,160,0.0775,384,0.0500,300,0.0566,426,0.0475,179,0.0732,679,0.0376,663,0.0381,us,Twitter,Daily Users
2019-12-02,0.2254,,0.1856,,0.1198,,0.0471,,0.2714,,0.1747,,0.1363,,0.1015,,0.0514,,0.1164,,0.1752,,,251,0.0619,288,0.0577,418,0.0479,238,0.0635,120,0.0895,327,0.0542,267,0.0600,432,0.0472,188,0.0715,648,0.0385,548,0.0419,us,Twitter,Daily Users
2019-12-09,0.2052,,0.1718,,0.1285,,0.0808,,0.2607,,0.1414,,0.1786,,0.0961,,0.0852,,0.1135,,0.1794,,,234,0.0641,262,0.0605,383,0.0501,250,0.0620,108,0.0943,285,0.0581,302,0.0564,383,0.0501,199,0.0695,608,0.0397,521,0.0429,us,Twitter,Daily Users
2019-12-16,0.2595,,0.1683,,0.1254,,0.0551,,0.3253,,0.2118,0.0703,0.1045,-0.0741,0.0913,,0.0458,,0.1251,,0.1773,,,257,0.0611,234,0.0641,361,0.0516,254,0.0615,106,0.0952,301,0.0565,263,0.0604,383,0.0501,201,0.0691,588,0.0404,518,0.0431,us,Twitter,Daily Users
2019-12-23,0.2537,,0.1586,,0.1209,,0.0634,,0.2554,,0.2101,,0.1437,,0.0798,,0.0666,,0.1278,,0.1751,,,323,0.0545,346,0.0527,457,0.0458,265,0.0602,157,0.0782,370,0.0509,373,0.0507,421,0.0478,196,0.0700,732,0.0362,658,0.0382,us,Twitter,Daily Users
2019-12-30,0.2402,,0.1920,,0.1359,,0.0429,,0.2747,,0.1945,,0.1842,,0.0720,,0.0545,,0.1240,,0.1851,,,295,0.0571,370,0.0509,465,0.0454,277,0.0589,150,0.0800,393,0.0494,365,0.0513,443,0.0466,205,0.0684,713,0.0367,694,0.0372,us,Twitter,Daily Users
2020-01-06,0.2236,,0.1881,,0.1273,,0.0705,,0.2409,,0.1805,,0.1504,,0.1164,0.0445,0.0898,,0.1232,,0.1863,,,296,0.0570,354,0.0521,457,0.0458,264,0.0603,154,0.0790,383,0.0501,331,0.0539,453,0.0460,189,0.0713,728,0.0363,643,0.0386,us,Twitter,Daily Users
2020-01-13,0.2406,,0.1861,,0.0838,-0.0435,0.0813,,0.2772,,0.1901,,0.1246,,0.0758,,0.0902,,0.1163,,0.1659,,,253,0.0616,339,0.0532,458,0.0458,260,0.0608,133,0.0850,354,0.0521,358,0.0518,420,0.0478,186,0.0719,683,0.0375,626,0.0392,us,Twitter,Daily Users
2020-01-20,0.2513,,0.1430,,0.1448,0.0610,0.0300,-0.0513,0.2727,,0.1781,,0.1519,,0.0769,,0.0331,-0.0570,0.1127,,0.1781,,,277,0.0589,333,0.0537,442,0.0466,265,0.0602,134,0.0847,382,0.0501,355,0.0520,402,0.0489,190,0.0711,694,0.0372,624,0.0392,us,Twitter,Daily Users
2020-01-27,0.2560,,0.2261,0.0831,0.1257,,0.0618,,0.2504,,0.2385,0.0604,0.1634,,0.0880,,0.0696,,0.1250,,0.2061,,,296,0.0570,342,0.0530,495,0.0440,282,0.0584,164,0.0765,383,0.0501,355,0.0520,468,0.0453,206,0.0683,727,0.0363,689,0.0373,us,Twitter,Daily Users
2020-02-03,0.2484,,0.1416,-0.0845,0.1571,,0.0831,,0.2564,,0.1723,-0.0662,0.1750,,0.1198,,0.1012,,0.1350,,0.1843,,,301,0.0565,342,0.0530,528,0.0426,271,0.0595,147,0.0808,370,0.0509,386,0.0499,487,0.0444,182,0.0726,751,0.0358,690,0.0373,us,Twitter,Daily Users
2020-02-10,0.1968,,0.2246,0.0829,0.1359,,0.0469,,0.1727,,0.2165,,0.1823,,0.0788,-0.0410,0.0343,-0.0669,0.0989,-0.0361,0.2052,,,310,0.0557,354,0.0521,503,0.0437,279,0.0587,175,0.0741,371,0.0509,406,0.0486,451,0.0461,203,0.0688,704,0.0369,743,0.0360,us,Twitter,Daily Users
2020-02-17,0.2346,,0.1652,,0.1435,,0.0957,0.0488,0.2162,,0.2078,,0.1458,,0.1198,,0.0988,0.0645,0.1272,,0.1956,,,286,0.0579,354,0.0521,466,0.0454,267,0.0600,164,0.0765,372,0.0508,337,0.0534,455,0.0459,194,0.0704,740,0.0360,634,0.0389,us,Twitter,Daily Users
2020-02-24,0.2531,,0.2050,,0.1401,,0.0656,,0.2664,,0.2167,,0.1698,,0.0993,,0.0766,,0.1451,,0.1900,,,302,0.0564,350,0.0524,424,0.0476,280,0.0586,155,0.0787,388,0.0498,328,0.0541,430,0.0473,201,0.0691,705,0.0369,652,0.0384,us,Twitter,Daily Users
2020-03-02,0.2416,,0.2233,,0.1009,,0.0632,,0.2554,,0.2380,,0.1355,,0.0728,,0.0640,,0.1202,,0.1862,,,291,0.0574,334,0.0536,463,0.0455,271,0.0595,153,0.0792,367,0.0512,340,0.0531,447,0.0464,194,0.0704,672,0.0378,688,0.0374,us,Twitter,Daily Users
2020-03-09,0.2894,,0.2090,,0.1237,,0.0497,,0.2930,,0.2295,,0.1705,,0.0758,,0.0494,,0.1139,,0.2171,,,269,0.0598,381,0.0502,457,0.0458,286,0.0579,142,0.0822,383,0.0501,360,0.0517,466,0.0454,217,0.0665,719,0.0365,675,0.0377,us,Twitter,Daily Users
2020-03-16,0.2647,,0.2156,,0.1307,,0.0338,,0.2669,,0.2548,,0.1345,,0.0933,,0.0340,,0.1297,,0.2013,,,328,0.0541,324,0.0544,481,0.0447,273,0.0593,193,0.0705,335,0.0535,367,0.0512,454,0.0460,198,0.0696,759,0.0356,646,0.0386,us,Twitter,Daily Users
2020-03-23,0.2657,,0.2250,,0.1470,,0.0564,,0.2692,,0.2457,,0.1776,,0.0904,,0.0536,,0.1333,,0.2159,,,287,0.0578,333,0.0537,451,0.0461,279,0.0587,163,0.0768,341,0.0531,364,0.0514,424,0.0476,190,0.0711,705,0.0369,644,0.0386,us,Twitter,Daily Users
2020-03-30,0.2676,,0.2062,,0.1093,,0.0626,,0.2779,,0.2239,,0.1328,,0.0855,,0.0518,,0.1166,,0.2026,,,276,0.0590,307,0.0559,421,0.0478,257,0.0611,167,0.0758,312,0.0555,327,0.0542,411,0.0483,178,0.0735,654,0.0383,607,0.0398,us,Twitter,Daily Users
2020-04-06,0.2407,,0.2055,,0.1326,,0.0680,,0.2515,,0.2171,,0.1668,,0.0945,,0.0751,,0.1163,,0.2100,,,268,0.0599,345,0.0528,446,0.0464,252,0.0617,176,0.0739,315,0.0552,357,0.0519,410,0.0484,179,0.0732,679,0.0376,631,0.0390,us,Twitter,Daily Users
2020-04-13,0.1953,,0.2028,,0.1399,,0.0755,,0.2324,,0.1945,,0.1612,,0.1021,,0.0919,,0.1302,,0.1733,,,243,0.0629,306,0.0560,469,0.0453,266,0.0601,147,0.0808,295,0.0571,351,0.0523,448,0.0463,187,0.0717,635,0.0389,649,0.0385,us,Twitter,Daily Users
2020-04-20,0.3253,0.1300,0.2163,,0.1199,,0.0528,,0.3064,,0.2888,0.0943,0.1497,,0.0680,,0.0569,,0.1001,,0.2481,0.0747,,271,0.0595,285,0.0581,455,0.0459,280,0.0586,171,0.0749,296,0.0570,346,0.0527,414,0.0482,189,0.0713,683,0.0375,608,0.0397,us,Twitter,Daily Users
2020-04-27,0.2545,,0.1722,,0.1508,,0.0708,,0.2452,,0.2098,-0.0790,0.2027,,0.0728,,0.0564,,0.1425,0.0424,0.1843,-0.0638,,277,0.0589,270,0.0596,447,0.0464,247,0.0624,176,0.0739,282,0.0584,313,0.0554,435,0.0470,186,0.0719,641,0.0387,600,0.0400,us,Twitter,Daily Users
2020-05-04,0.2616,,0.2129,,0.1329,,0.0757,,0.2451,,0.2314,,0.1875,,0.0884,,0.0892,,0.1291,,0.2059,,,255,0.0614,282,0.0584,408,0.0485,236,0.0638,171,0.0749,246,0.0625,335,0.0535,377,0.0505,158,0.0780,577,0.0408,604,0.0399,us,Twitter,Daily Users
2020-05-11,0.2858,,0.1637,,0.0903,,0.0610,,0.2717,,0.2215,,0.1210,-0.0665,0.0767,,0.0670,,0.1084,,0.1879,,,296,0.0570,267,0.0600,429,0.0473,260,0.0608,193,0.0705,282,0.0584,284,0.0582,432,0.0472,181,0.0728,658,0.0382,594,0.0402,us,Twitter,Daily Users
2020-05-18,0.2335,,0.2060,,0.1388,0.0485,0.0770,,0.2519,,0.2136,,0.1557,,0.1096,,0.0707,,0.1343,,0.1928,,,286,0.0579,300,0.0566,430,0.0473,247,0.0624,195,0.0702,297,0.0569,312,0.0555,410,0.0484,169,0.0754,618,0.0394,644,0.0386,us,Twitter,Daily Users
2020-05-25,0.2577,,0.2391,,0.1023,,0.0422,,0.2688,,0.2178,,0.1667,,0.0736,,0.0465,,0.1218,,0.1878,,,309,0.0558,261,0.0607,459,0.0457,270,0.0596,199,0.0695,280,0.0586,312,0.0555,450,0.0462,186,0.0719,660,0.0381,639,0.0388,us,Twitter,Daily Users
2020-06-01,0.2780,,0.1870,,0.1315,,0.0805,,0.2811,,0.2254,,0.1591,,0.1060,,0.0709,,0.1190,,0.2340,,,325,0.0544,313,0.0554,458,0.0458,209,0.0678,198,0.0696,320,0.0548,366,0.0512,377,0.0505,142,0.0822,692,0.0373,613,0.0396,us,Twitter,Daily Users
2020-06-08,0.2536,,0.1974,,0.1293,,0.0393,,0.2899,,0.2013,,0.1501,,0.0826,,0.0389,,0.1395,,0.1829,-0.0512,,323,0.0545,287,0.0578,434,0.0470,231,0.0645,202,0.0690,309,0.0558,344,0.0528,367,0.0512,154,0.0790,677,0.0377,598,0.0401,us,Twitter,Daily Users
2020-06-15,0.2948,,0.2171,,0.1530,,0.0848,,0.3223,,0.2294,,0.2020,,0.0955,,0.0977,,0.1516,,0.2280,,,317,0.0550,318,0.0550,429,0.0473,255,0.0614,206,0.0683,322,0.0546,332,0.0538,404,0.0488,183,0.0724,667,0.0379,652,0.0384,us,Twitter,Daily Users
2020-06-22,0.2805,,0.2196,,0.1070,,0.0531,,0.2611,,0.2344,,0.1728,,0.0820,,0.0709,,0.1208,,0.2072,,,277,0.0589,283,0.0583,380,0.0503,259,0.0609,179,0.0732,283,0.0583,277,0.0589,407,0.0486,183,0.0724,626,0.0392,572,0.0410,us,Twitter,Daily Users
2020-06-29,0.2649,,0.2424,,0.1669,0.0599,0.0664,,0.2859,,0.2487,,0.2215,,0.0859,,0.0734,,0.1391,,0.2425,,,338,0.0533,272,0.0594,482,0.0446,260,0.0608,211,0.0675,312,0.0555,335,0.0535,460,0.0457,205,0.0684,724,0.0364,629,0.0391,us,Twitter,Daily Users
2020-07-06,0.2742,,0.2135,,0.1258,,0.0726,,0.2326,,0.2589,,0.1620,,0.0908,,0.0802,,0.1410,,0.2008,,,264,0.0603,336,0.0535,447,0.0464,238,0.0635,160,0.0775,334,0.0536,333,0.0537,410,0.0484,168,0.0756,675,0.0377,610,0.0397,us,Twitter,Daily Users
2020-07-13,0.3026,,0.2778,,0.1275,,0.0433,,0.3204,,0.2736,,0.1990,,0.0748,,0.0535,,0.1519,,0.2192,,,274,0.0592,307,0.0559,425,0.0475,253,0.0616,153,0.0792,325,0.0544,320,0.0548,412,0.0483,182,0.0726,632,0.0390,627,0.0391,us,Twitter,Daily Users
2020-07-20,0.2583,,0.1915,-0.0863,0.1444,,0.0703,,0.2494,,0.1996,-0.0740,0.2179,,0.0837,,0.0748,,0.1369,,0.1978,,,304,0.0562,334,0.0536,515,0.0432,266,0.0601,178,0.0735,358,0.0518,348,0.0525,481,0.0447,181,0.0728,743,0.0360,675,0.0377,us,Twitter,Daily Users
2020-07-27,0.2974,,0.1785,,0.1181,,0.0689,,0.2957,,0.2260,,0.1384,-0.0795,0.0922,,0.0726,,0.1301,,0.2013,,,301,0.0565,343,0.0529,448,0.0463,249,0.0621,191,0.0709,340,0.0531,338,0.0533,412,0.0483,172,0.0747,689,0.0373,651,0.0384,us,Twitter,Daily Users
2020-08-03,0.2915,,0.2217,,0.1471,,0.0962,,0.3280,,0.2369,,0.1888,,0.1060,,0.0985,,0.1659,,0.2148,,,308,0.0558,306,0.0560,403,0.0488,257,0.0611,183,0.0724,329,0.0540,305,0.0561,403,0.0488,180,0.0730,656,0.0383,618,0.0394,us,Twitter,Daily Users
2020-08-10,0.2820,,0.2107,,0.1304,,0.0744,,0.3325,,0.1975,,0.1944,,0.0876,,0.0877,,0.1142,-0.0517,0.2294,,,251,0.0619,288,0.0577,383,0.0501,257,0.0611,145,0.0814,297,0.0569,303,0.0563,398,0.0491,193,0.0705,607,0.0398,572,0.0410,us,Twitter,Daily Users
2020-08-17,0.2567,,0.1996,,0.1575,,0.0530,,0.2365,,0.2003,,0.1926,,0.1124,,0.0481,,0.1139,,0.2273,,,306,0.0560,369,0.0510,476,0.0449,287,0.0578,164,0.0765,416,0.0480,347,0.0526,448,0.0463,206,0.0683,745,0.0359,693,0.0372,us,Twitter,Daily Users
2020-08-24,0.2567,,0.2317,,0.1236,,0.0825,,0.2740,,0.2057,,0.1931,,0.0977,,0.0955,,0.1267,,0.2071,,,257,0.0611,313,0.0554,469,0.0453,278,0.0588,156,0.0785,317,0.0550,334,0.0536,447,0.0464,188,0.0715,664,0.0380,653,0.0384,us,Twitter,Daily Users
2020-08-31,0.3377,,0.2268,,0.1478,,0.0782,,0.3857,,0.2303,,0.2188,,0.0853,,0.0730,,0.1373,,0.2480,,,275,0.0591,282,0.0584,482,0.0446,258,0.0610,149,0.0803,316,0.0551,350,0.0524,421,0.0478,175,0.0741,664,0.0380,633,0.0390,us,Twitter,Daily Users
2020-09-07,0.2870,,0.2493,,0.1544,,0.0653,,0.3358,,0.2254,,0.2101,,0.1009,,0.0626,,0.1398,,0.2369,,,264,0.0603,336,0.0535,459,0.0457,254,0.0615,145,0.0814,343,0.0529,343,0.0529,444,0.0465,197,0.0698,659,0.0382,654,0.0383,us,Twitter,Daily Users
2020-09-14,0.3012,,0.2460,,0.1538,,0.0882,,0.3948,,0.2110,,0.2064,,0.1200,,0.0939,,0.1578,,0.2286,,,263,0.0604,325,0.0544,461,0.0456,280,0.0586,132,0.0853,355,0.0520,345,0.0528,435,0.0470,188,0.0715,693,0.0372,636,0.0389,us,Twitter,Daily Users
2020-09-21,0.2563,,0.2657,,0.1389,,0.0730,,0.2818,,0.2358,,0.2213,,0.0929,,0.0808,,0.1614,,0.2056,,,290,0.0575,359,0.0517,477,0.0449,279,0.0587,172,0.0747,367,0.0512,339,0.0532,456,0.0459,190,0.0711,735,0.0361,671,0.0378,us,Twitter,Daily Users
2020-09-28,0.2595,,0.2053,,0.1215,,0.0508,,0.2761,,0.2002,,0.1851,,0.0740,,0.0533,,0.1171,-0.0443,0.1993,,,305,0.0561,389,0.0497,502,0.0437,315,0.0552,153,0.0792,422,0.0477,365,0.0513,510,0.0434,229,0.0648,792,0.0348,719,0.0365,us,Twitter,Daily Users
