Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2020-03-16,0.2596,,0.1085,,0.0329,,0.0026,,0.3447,,0.1243,,0.0782,,0.0067,,0.0928,,0.1001,,,312,0.0555,357,0.0519,494,0.0441,253,0.0616,161,0.0772,404,0.0488,355,0.0520,451,0.0461,703,0.0370,713,0.0367,us,TikTok,Daily Users
2020-03-23,0.2643,,0.1182,,0.0302,,0.0065,,0.3359,,0.1406,,0.0767,,0.0088,,0.0932,,0.1152,,,320,0.0548,344,0.0528,428,0.0474,257,0.0611,166,0.0761,397,0.0492,320,0.0548,420,0.0478,713,0.0367,636,0.0389,us,TikTok,Daily Users
2020-03-30,0.3294,,0.1348,,0.0496,,0.0049,,0.4682,0.1323,0.1518,,0.0820,,0.0124,,0.1267,,0.1113,,,278,0.0588,280,0.0586,436,0.0469,280,0.0586,156,0.0785,314,0.0553,316,0.0551,440,0.0467,678,0.0376,596,0.0401,us,TikTok,Daily Users
2020-04-06,0.3214,,0.1164,,0.0147,-0.0349,0.0094,,0.3962,,0.1554,,0.0298,-0.0522,0.0137,,0.1038,,0.1228,,,326,0.0543,296,0.0570,432,0.0472,256,0.0612,207,0.0681,324,0.0544,308,0.0558,424,0.0476,673,0.0378,637,0.0388,us,TikTok,Daily Users
2020-04-13,0.2924,,0.1376,,0.0214,,0.0000,,0.3350,,0.1501,,0.0677,0.0379,0.0069,,0.0938,,0.1076,,,272,0.0594,300,0.0566,454,0.0460,274,0.0592,182,0.0726,301,0.0565,313,0.0554,446,0.0464,685,0.0374,613,0.0396,us,TikTok,Daily Users
2020-04-20,0.2903,,0.1682,,0.0381,,0.0188,,0.3232,,0.1709,,0.1187,0.0510,0.0086,,0.1283,,0.1195,,,295,0.0571,322,0.0546,450,0.0462,234,0.0641,189,0.0713,332,0.0538,322,0.0546,419,0.0479,674,0.0377,627,0.0391,us,TikTok,Daily Users
2020-04-27,0.3180,,0.1418,,0.0351,,0.0000,,0.3834,,0.1972,,0.0458,-0.0728,0.0119,,0.1185,,0.1198,,,316,0.0551,280,0.0586,435,0.0470,273,0.0593,197,0.0698,306,0.0560,317,0.0550,437,0.0469,636,0.0389,668,0.0379,us,TikTok,Daily Users
2020-05-04,0.3071,,0.1227,,0.0459,,0.0176,,0.3304,,0.1709,,0.0806,,0.0204,,0.1317,,0.1070,,,273,0.0593,282,0.0584,397,0.0492,222,0.0658,186,0.0719,277,0.0589,300,0.0566,370,0.0509,606,0.0398,567,0.0412,us,TikTok,Daily Users
2020-05-11,0.2761,,0.1183,,0.0462,,0.0034,,0.3324,,0.1473,,0.0664,,0.0254,,0.1115,,0.1164,,,300,0.0566,298,0.0568,396,0.0492,209,0.0678,195,0.0702,285,0.0581,312,0.0555,367,0.0512,623,0.0393,579,0.0407,us,TikTok,Daily Users
2020-05-18,0.2421,,0.1374,,0.0352,,0.0242,,0.2733,,0.1676,,0.0821,,0.0171,,0.1093,,0.1002,,,285,0.0581,330,0.0539,428,0.0474,247,0.0624,181,0.0728,317,0.0550,308,0.0558,446,0.0464,674,0.0377,616,0.0395,us,TikTok,Daily Users
2020-05-25,0.3682,0.1260,0.1255,,0.0232,,0.0133,,0.4142,0.1409,0.2295,,0.0280,-0.0541,0.0173,,0.1268,,0.1151,,,294,0.0572,284,0.0582,467,0.0453,262,0.0605,167,0.0758,306,0.0560,344,0.0528,436,0.0469,669,0.0379,638,0.0388,us,TikTok,Daily Users
2020-06-01,0.2622,-0.1059,0.1417,,0.0487,,0.0227,,0.2869,-0.1273,0.1772,,0.0807,0.0527,0.0199,,0.1044,,0.1206,,,294,0.0572,266,0.0601,469,0.0453,250,0.0620,187,0.0717,274,0.0592,351,0.0523,421,0.0478,675,0.0377,604,0.0399,us,TikTok,Daily Users
2020-06-08,0.3860,0.1238,0.1414,,0.0515,,0.0087,,0.4572,0.1702,0.1980,,0.0923,,0.0157,,0.1193,,0.1528,,,285,0.0581,317,0.0550,458,0.0458,266,0.0601,178,0.0735,307,0.0559,343,0.0529,452,0.0461,654,0.0383,672,0.0378,us,TikTok,Daily Users
2020-06-15,0.3321,,0.1648,,0.0296,,0.0042,,0.3927,,0.2081,,0.0677,,0.0065,,0.1086,,0.1329,,,273,0.0593,291,0.0574,449,0.0462,260,0.0608,162,0.0770,304,0.0562,333,0.0537,424,0.0476,663,0.0381,610,0.0397,us,TikTok,Daily Users
2020-06-22,0.3559,,0.1373,,0.0502,,0.0119,,0.3901,,0.2062,,0.0941,,0.0120,,0.1386,,0.1333,,,291,0.0574,241,0.0631,401,0.0489,241,0.0631,189,0.0713,267,0.0600,269,0.0598,397,0.0492,580,0.0407,594,0.0402,us,TikTok,Daily Users
2020-06-29,0.3384,,0.1472,,0.0498,,0.0189,,0.4082,,0.1783,,0.0791,,0.0314,,0.1200,,0.1458,,,303,0.0563,326,0.0543,449,0.0462,262,0.0605,204,0.0686,303,0.0563,344,0.0528,431,0.0472,682,0.0375,658,0.0382,us,TikTok,Daily Users
2020-07-06,0.3426,,0.1417,,0.0477,,0.0150,,0.3669,,0.1993,,0.0913,,0.0171,,0.1443,,0.1056,-0.0402,,271,0.0595,341,0.0531,441,0.0467,266,0.0601,170,0.0752,336,0.0535,324,0.0544,429,0.0473,695,0.0372,625,0.0392,us,TikTok,Daily Users
2020-07-13,0.3424,,0.1532,,0.0611,,0.0168,,0.3967,,0.1945,,0.0992,,0.0306,,0.1524,,0.1303,,,321,0.0547,319,0.0549,485,0.0445,238,0.0635,203,0.0688,332,0.0538,350,0.0524,419,0.0479,674,0.0377,688,0.0374,us,TikTok,Daily Users
2020-07-20,0.2799,,0.1147,,0.0385,,0.0140,,0.3280,,0.1577,,0.0792,,0.0082,-0.0224,0.1204,,0.0896,-0.0407,,314,0.0553,316,0.0551,487,0.0444,271,0.0595,179,0.0732,343,0.0529,368,0.0511,451,0.0461,723,0.0364,663,0.0381,us,TikTok,Daily Users
2020-07-27,0.3183,,0.1196,,0.0343,,0.0053,,0.3507,,0.1883,,0.0650,,0.0138,,0.1143,,0.1142,,,290,0.0575,291,0.0574,446,0.0464,230,0.0646,162,0.0770,321,0.0547,316,0.0551,427,0.0474,657,0.0382,602,0.0399,us,TikTok,Daily Users
2020-08-03,0.3559,,0.1431,,0.0502,,0.0355,0.0301,0.4256,,0.2105,,0.0749,,0.0391,0.0253,0.1203,,0.1462,,,246,0.0625,296,0.0570,417,0.0480,255,0.0614,125,0.0877,318,0.0550,308,0.0558,391,0.0496,675,0.0377,538,0.0423,us,TikTok,Daily Users
2020-08-10,0.2870,,0.1668,,0.0587,,0.0108,,0.3106,-0.1150,0.2250,,0.0864,,0.0240,,0.1322,,0.1249,,,312,0.0555,289,0.0576,452,0.0461,245,0.0626,191,0.0709,309,0.0558,329,0.0540,409,0.0485,664,0.0380,634,0.0389,us,TikTok,Daily Users
2020-08-17,0.2568,,0.1528,,0.0544,,0.0142,,0.3107,,0.1948,,0.0771,,0.0172,,0.1355,,0.1026,,,334,0.0536,358,0.0518,485,0.0445,249,0.0621,173,0.0745,415,0.0481,357,0.0519,432,0.0472,735,0.0361,691,0.0373,us,TikTok,Daily Users
2020-08-24,0.2807,,0.1486,,0.0638,,0.0033,,0.2965,,0.1965,,0.0886,,0.0338,,0.1262,,0.1226,,,320,0.0548,297,0.0569,469,0.0453,238,0.0635,192,0.0707,327,0.0542,331,0.0539,420,0.0478,666,0.0380,657,0.0382,us,TikTok,Daily Users
