,image_id,Image_label,Image_path,Duplicate_image,Duplicate_path,Similarity_score
0,0,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (1).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,0.6903687715530396
1,1,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (10).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,0.6860201358795166
2,1,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (10).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (6).jpg,0.7381190061569214
3,1,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (10).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (9).jpg,0.6846612691879272
4,2,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (11).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (12).jpg,0.7997008562088013
5,2,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (11).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (13).jpg,0.6874425411224365
6,2,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (11).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,0.6867305040359497
7,2,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (11).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (8).jpg,0.6903632879257202
8,3,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (12).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (4).jpg,0.6548433303833008
9,3,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (12).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (6).jpg,0.7280835509300232
10,4,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (13).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,0.6671079397201538
11,4,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (13).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (7).jpg,0.6833727359771729
12,5,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (14).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,0.7116861343383789
13,5,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (14).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (8).jpg,0.7901358604431152
14,6,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (2).jpg,ben_afflek,./dataset/train/ben_afflek/train_ben_afflek (6).jpg,0.6690329909324646
